profile_name,gpu_id,n_gpu_active,W_SM_KiB,blocks_per_SM,active_SM,reuse_factor,load_repeat,store_repeat,component,pair,numerator_mode,control_mode,numerator_elapsed_s,control_elapsed_s,elapsed_ratio,numerator_net_E_J,control_net_E_J,control_power_W,control_energy_scaled_J,delta_E_J,denominator_column,denominator,coefficient,coefficient_unit,coefficient_pJ_per_bit,valid_component_estimate,diagnostic,source_file
rtx3090,0,1,8192,16,82,1,1,1,dram_cg_stream_path,dram_cg_load_only_minus_clocked_empty,dram_cg_load_only,clocked_empty,3.280478743,3.167093934,1.0358008986669986,719.157607072,559.512256457,176.66424429361433,579.5432980533609,139.61430901863912,expected_dram_bytes,2887933591552.0,48.344016436890854,pJ/byte,6.043002054611357,True,,results/raw/rtx3090_component_accept_energy_duration_20260705.csv
rtx3090,0,1,8192,16,82,1,4,1,dram_cg_stream_path,dram_cg_load_only_minus_clocked_empty,dram_cg_load_only,clocked_empty,3.319299372,3.316251319,1.0009191260573458,740.914553789,636.681270318,191.9882448806649,637.2664606637733,103.64809312522675,expected_dram_bytes,2891917033472.0,35.840617806655445,pJ/byte,4.480077225831931,True,,results/raw/rtx3090_component_accept_energy_duration_20260705.csv
rtx3090,0,1,8192,16,82,1,16,1,dram_cg_stream_path,dram_cg_load_only_minus_clocked_empty,dram_cg_load_only,clocked_empty,3.277419864,3.330501491,1.01619616320236,721.055363137,682.874393086,205.03650724412782,671.9907216870844,49.0646414499156,expected_dram_bytes,2884157046784.0,17.01177871178183,pJ/byte,2.1264723389727287,True,,results/raw/rtx3090_component_accept_energy_duration_20260705.csv
rtx3090,0,1,16,16,82,1,1,1,global_l1_hit_path,global_l1_load_only_minus_clocked_empty,global_l1_load_only,clocked_empty,3.330202671,2.819296881,1.1812174494439132,674.245540709,538.922076016,191.15478034539066,636.5841600806383,37.66138062836171,expected_l1_bytes,11439782854656.0,3.292141215165942,pJ/byte,0.41151765189574274,True,,results/raw/rtx3090_component_accept_energy_duration_20260705.csv
rtx3090,0,1,16,16,82,1,4,1,global_l1_hit_path,global_l1_load_only_minus_clocked_empty,global_l1_load_only,clocked_empty,3.373036673,3.312322596,1.0183297596294876,697.629503578,633.279766014,191.18903659285968,644.8876319032547,52.74187167474531,expected_l1_bytes,13123163914240.0,4.018990543699213,pJ/byte,0.5023738179624017,True,,results/raw/rtx3090_component_accept_energy_duration_20260705.csv
rtx3090,0,1,16,16,82,1,16,1,global_l1_hit_path,global_l1_load_only_minus_clocked_empty,global_l1_load_only,clocked_empty,3.372498127,3.309748625,1.0189589932981693,686.647645607,671.635600417,202.92646859759628,684.3691352641177,2.278510342882214,expected_l1_bytes,14139749040128.0,0.16114220531184106,pJ/byte,0.020142775663980133,True,,results/raw/rtx3090_component_accept_energy_duration_20260705.csv
rtx3090,0,1,64,16,82,1,1,1,global_l1_hit_path,global_l1_load_only_minus_clocked_empty,global_l1_load_only,clocked_empty,3.277819262,3.29036402,1.0038271658676952,600.385565266,564.584606519,171.58727821215354,562.4320856379497,37.95347962805022,expected_l1_bytes,9734549962752.0,3.898842758347773,pJ/byte,0.48735534479347165,True,,results/raw/rtx3090_component_accept_energy_duration_20260705.csv
rtx3090,0,1,64,16,82,1,4,1,global_l1_hit_path,global_l1_load_only_minus_clocked_empty,global_l1_load_only,clocked_empty,3.335224308,3.29241795,1.0130014957548146,627.666593859,636.777898659,193.4073706101013,645.0569638051746,-17.390369946174587,expected_l1_bytes,10733071892480.0,-1.6202602684846399,pJ/byte,-0.20253253356057999,False,negative_coefficient,results/raw/rtx3090_component_accept_energy_duration_20260705.csv
rtx3090,0,1,64,16,82,1,16,1,global_l1_hit_path,global_l1_load_only_minus_clocked_empty,global_l1_load_only,clocked_empty,3.3965429,3.436809133,1.0118550638650847,627.163958426,691.51007311,201.2070052043824,683.4082249572081,-56.24426653120804,expected_l1_bytes,11222251995136.0,-5.011852037860644,pJ/byte,-0.6264815047325805,False,negative_coefficient,results/raw/rtx3090_component_accept_energy_duration_20260705.csv
rtx3090,0,1,16,16,82,1,1,1,l2_hit_cg_path,l2_cg_load_only_minus_clocked_empty,l2_cg_load_only,clocked_empty,3.372344929,2.819296881,1.196165239541511,676.801357126,538.922076016,191.15478034539066,644.6398541518871,32.161502974112864,expected_l2_bytes,7354288242688.0,4.373163236576896,pJ/byte,0.546645404572112,True,,results/raw/rtx3090_component_accept_energy_duration_20260705.csv
