mode,target_profile,W_SM_KiB,blocks_per_SM,active_SM,reuse_factor,load_repeat,store_repeat,n_gpu_active,gpu_list,valid,regime,reason,measurement_policy,command
reg_operand_only,rtx3090,2048,16,82,8,1,1,1,0,True,dram_mixed_streaming,full-GPU working set exceeds nominal L2,per_mode_duration_calibrated,./build/a100_fp16_energy_v2 --gpu-list 0 --mode reg_operand_only --w-sm-kib 2048 --blocks-per-sm 16 --target-profile rtx3090 --active-sm 82 --seconds 20.0 --repeats 1 --reuse-factor 8 --load-repeat 1 --store-repeat 1 --output results/raw/rtx3090_tensor_targeted_rf8_rf16_20260708.csv --verify-smid 1
reg_mma,rtx3090,2048,16,82,8,1,1,1,0,True,dram_mixed_streaming,full-GPU working set exceeds nominal L2,per_mode_duration_calibrated,./build/a100_fp16_energy_v2 --gpu-list 0 --mode reg_mma --w-sm-kib 2048 --blocks-per-sm 16 --target-profile rtx3090 --active-sm 82 --seconds 20.0 --repeats 1 --reuse-factor 8 --load-repeat 1 --store-repeat 1 --output results/raw/rtx3090_tensor_targeted_rf8_rf16_20260708.csv --verify-smid 1
reg_operand_only,rtx3090,2048,16,82,16,1,1,1,0,True,dram_mixed_streaming,full-GPU working set exceeds nominal L2,per_mode_duration_calibrated,./build/a100_fp16_energy_v2 --gpu-list 0 --mode reg_operand_only --w-sm-kib 2048 --blocks-per-sm 16 --target-profile rtx3090 --active-sm 82 --seconds 20.0 --repeats 1 --reuse-factor 16 --load-repeat 1 --store-repeat 1 --output results/raw/rtx3090_tensor_targeted_rf8_rf16_20260708.csv --verify-smid 1
reg_mma,rtx3090,2048,16,82,16,1,1,1,0,True,dram_mixed_streaming,full-GPU working set exceeds nominal L2,per_mode_duration_calibrated,./build/a100_fp16_energy_v2 --gpu-list 0 --mode reg_mma --w-sm-kib 2048 --blocks-per-sm 16 --target-profile rtx3090 --active-sm 82 --seconds 20.0 --repeats 1 --reuse-factor 16 --load-repeat 1 --store-repeat 1 --output results/raw/rtx3090_tensor_targeted_rf8_rf16_20260708.csv --verify-smid 1
