mode,target_profile,W_SM_KiB,blocks_per_SM,active_SM,reuse_factor,load_repeat,store_repeat,global_warmup_passes,l2_residency_policy,l2_address_layout,n_gpu_active,gpu_list,valid,regime,reason,measurement_policy,resolved_iters,command
global_addr_only,rtx3090,8,8,82,1,4,1,1,normal,contiguous,1,0,True,shared_resident,fits shared memory,l1_pair_locked_iters,6293917,./build/a100_fp16_energy_v2 --gpu-list 0 --mode global_addr_only --w-sm-kib 8 --blocks-per-sm 8 --target-profile rtx3090 --active-sm 82 --seconds 5.0 --repeats 1 --reuse-factor 1 --load-repeat 4 --store-repeat 1 --global-warmup-passes 1 --l2-residency-policy normal --l2-address-layout contiguous --output results/raw/rtx3090_pairv2b_20260714_l1.csv --verify-smid 1 --iters 6293917
global_l1_load_only,rtx3090,8,8,82,1,4,1,1,normal,contiguous,1,0,True,shared_resident,fits shared memory,l1_pair_locked_iters,6293917,./build/a100_fp16_energy_v2 --gpu-list 0 --mode global_l1_load_only --w-sm-kib 8 --blocks-per-sm 8 --target-profile rtx3090 --active-sm 82 --seconds 5.0 --repeats 1 --reuse-factor 1 --load-repeat 4 --store-repeat 1 --global-warmup-passes 1 --l2-residency-policy normal --l2-address-layout contiguous --output results/raw/rtx3090_pairv2b_20260714_l1.csv --verify-smid 1 --iters 6293917
global_addr_only,rtx3090,8,8,82,1,8,1,1,normal,contiguous,1,0,True,shared_resident,fits shared memory,l1_pair_locked_iters,3316504,./build/a100_fp16_energy_v2 --gpu-list 0 --mode global_addr_only --w-sm-kib 8 --blocks-per-sm 8 --target-profile rtx3090 --active-sm 82 --seconds 5.0 --repeats 1 --reuse-factor 1 --load-repeat 8 --store-repeat 1 --global-warmup-passes 1 --l2-residency-policy normal --l2-address-layout contiguous --output results/raw/rtx3090_pairv2b_20260714_l1.csv --verify-smid 1 --iters 3316504
global_l1_load_only,rtx3090,8,8,82,1,8,1,1,normal,contiguous,1,0,True,shared_resident,fits shared memory,l1_pair_locked_iters,3316504,./build/a100_fp16_energy_v2 --gpu-list 0 --mode global_l1_load_only --w-sm-kib 8 --blocks-per-sm 8 --target-profile rtx3090 --active-sm 82 --seconds 5.0 --repeats 1 --reuse-factor 1 --load-repeat 8 --store-repeat 1 --global-warmup-passes 1 --l2-residency-policy normal --l2-address-layout contiguous --output results/raw/rtx3090_pairv2b_20260714_l1.csv --verify-smid 1 --iters 3316504
global_addr_only,rtx3090,8,8,82,1,16,1,1,normal,contiguous,1,0,True,shared_resident,fits shared memory,l1_pair_locked_iters,1692455,./build/a100_fp16_energy_v2 --gpu-list 0 --mode global_addr_only --w-sm-kib 8 --blocks-per-sm 8 --target-profile rtx3090 --active-sm 82 --seconds 5.0 --repeats 1 --reuse-factor 1 --load-repeat 16 --store-repeat 1 --global-warmup-passes 1 --l2-residency-policy normal --l2-address-layout contiguous --output results/raw/rtx3090_pairv2b_20260714_l1.csv --verify-smid 1 --iters 1692455
global_l1_load_only,rtx3090,8,8,82,1,16,1,1,normal,contiguous,1,0,True,shared_resident,fits shared memory,l1_pair_locked_iters,1692455,./build/a100_fp16_energy_v2 --gpu-list 0 --mode global_l1_load_only --w-sm-kib 8 --blocks-per-sm 8 --target-profile rtx3090 --active-sm 82 --seconds 5.0 --repeats 1 --reuse-factor 1 --load-repeat 16 --store-repeat 1 --global-warmup-passes 1 --l2-residency-policy normal --l2-address-layout contiguous --output results/raw/rtx3090_pairv2b_20260714_l1.csv --verify-smid 1 --iters 1692455
