run_id,gpu_id,n_gpu_active,mode,W_SM_KiB,blocks_per_SM,threads_per_block,active_SM,ITER,sweeps,elapsed_s,E_before_mJ,E_after_mJ,delta_E_J,idle_baseline_J,net_E_J,N_MMA,FLOP,input_bits,w_block_bytes,tiles_per_block,reuse_factor,load_repeat,store_repeat,reg_payload_bytes_per_block,reg_payload_regs_per_thread,reg_payload_bytes_per_sm,expected_reg_pressure_ops,expected_reg_operand_ops,expected_shared_bytes,expected_l2_bytes,expected_dram_bytes,expected_store_bytes,pJ_per_FLOP,pJ_per_input_bit,ncu_tensor_inst,ncu_shared_bytes,ncu_l2_bytes,ncu_dram_bytes,ncu_spill_bytes,smid_histogram_ok,clock_sm_mhz,clock_mem_mhz,temp_C,profile_name,architecture_family,chip,compute_capability,sm_count,l2_mib,shared_kib_per_sm,tensor_modes,energy_source,energy_integration_method,nvml_total_energy_supported,nvml_power_usage_semantics,nvml_field_power_instant_supported,nvml_field_power_average_supported,power_before_mw,power_after_mw,power_sample_count,power_sample_period_ms,driver_version,nvml_version,notes
empty_1783030837454_r0,0,1,empty,1,8,32,82,38241286,0,0.058692273,27913482446,27913491208,8.762,6.94839547017,1.81360452983,0,0,0,128,1,1,1,1,256,2,2048,0,0,0,0,0,2624,0,0,0,0,0,0,0,true,1740,9501,51,rtx3090,ampere_ga10x,ga102,8.6,82,6,100,"fp16_wmma,tf32,bf16,int8,int4,sparsity",nvml_total_energy,total_energy_mj_delta,true,one_sec_average,false,false,109375,110954,0,0,591.86,13.590.57,"regime=below_logical_tile;feasibility_reason=W_SM_KiB < blocks_per_SM; memory-backed MMA modes would not have a 1KiB logical tile per warp/block;target_profile=rtx3090;architecture_family=ampere_ga10x;chip=ga102;target_full_sm=82;target_l2_mib=6;target_shared_kib_per_sm=100;target_max_shared_kib_per_block=99;nvml_power_usage_semantics=one_sec_average;tensor_modes=fp16_wmma,tf32,bf16,int8,int4,sparsity;shared_resident=0;l2_candidate=0;dram_candidate=0;row_scope=per_gpu;logical_op=warp_m16n16k16;wmma_fallback=1;reuse_factor=1;load_repeat=1;store_repeat=1;reg_payload_bytes_per_block=256;reg_payload_regs_per_thread=2;reg_payload_bytes_per_sm=2048;expected_reg_pressure_ops=0;expected_reg_operand_ops=0;expected_shared_bytes=0;expected_l2_bytes=0;expected_dram_bytes=0;expected_store_bytes=2624;gpu_active=1;energy_source=nvml_total_energy;power_mw=109375;nvml_field_api_unavailable=no_nvml_header;power_limit_mw=370000;ecc_unavailable=Not Supported;energy_source=nvml_total_energy;power_mw=110954;nvml_field_api_unavailable=no_nvml_header;power_limit_mw=370000;ecc_unavailable=Not Supported;smid_unique=82;smid_total_blocks=656;smid_max_blocks_on_sm=8;runtime_device_name=NVIDIA GeForce RTX 3090;runtime_compute_capability=8.6;runtime_sm_count=82;runtime_l2_bytes=6291456;runtime_shared_mem_per_block_optin_bytes=101376;"
reg_pressure_1783030843654_r0,0,1,reg_pressure,1,8,32,82,38241286,0,2.932100721,27913827560,27914575114,747.554,305.478215283,442.075784717,0,0,0,128,1,1,1,1,256,2,2048,1605522151424,0,0,0,0,0,0,0,0,0,0,0,0,true,1935,9501,65,rtx3090,ampere_ga10x,ga102,8.6,82,6,100,"fp16_wmma,tf32,bf16,int8,int4,sparsity",nvml_total_energy,total_energy_mj_delta,true,one_sec_average,false,false,108214,272685,0,0,591.86,13.590.57,"regime=below_logical_tile;feasibility_reason=W_SM_KiB < blocks_per_SM; memory-backed MMA modes would not have a 1KiB logical tile per warp/block;target_profile=rtx3090;architecture_family=ampere_ga10x;chip=ga102;target_full_sm=82;target_l2_mib=6;target_shared_kib_per_sm=100;target_max_shared_kib_per_block=99;nvml_power_usage_semantics=one_sec_average;tensor_modes=fp16_wmma,tf32,bf16,int8,int4,sparsity;shared_resident=0;l2_candidate=0;dram_candidate=0;row_scope=per_gpu;logical_op=warp_m16n16k16;wmma_fallback=1;reuse_factor=1;load_repeat=1;store_repeat=1;reg_payload_bytes_per_block=256;reg_payload_regs_per_thread=2;reg_payload_bytes_per_sm=2048;expected_reg_pressure_ops=1605522151424;expected_reg_operand_ops=0;expected_shared_bytes=0;expected_l2_bytes=0;expected_dram_bytes=0;expected_store_bytes=0;gpu_active=1;energy_source=nvml_total_energy;power_mw=108214;nvml_field_api_unavailable=no_nvml_header;power_limit_mw=370000;ecc_unavailable=Not Supported;energy_source=nvml_total_energy;power_mw=272685;nvml_field_api_unavailable=no_nvml_header;power_limit_mw=370000;ecc_unavailable=Not Supported;smid_unique=82;smid_total_blocks=656;smid_max_blocks_on_sm=8;runtime_device_name=NVIDIA GeForce RTX 3090;runtime_compute_capability=8.6;runtime_sm_count=82;runtime_l2_bytes=6291456;runtime_shared_mem_per_block_optin_bytes=101376;"
empty_1783030846983_r0,0,1,empty,1,8,32,82,38241286,0,0.057086313,27914977670,27914977670,0,6.98740604882,-6.98740604882,0,0,0,128,1,1,1,1,256,2,2048,0,0,0,0,0,2624,0,0,0,0,0,0,0,true,1740,9501,53,rtx3090,ampere_ga10x,ga102,8.6,82,6,100,"fp16_wmma,tf32,bf16,int8,int4,sparsity",nvml_total_energy,total_energy_mj_delta,true,one_sec_average,false,false,109671,109671,0,0,591.86,13.590.57,"regime=below_logical_tile;feasibility_reason=W_SM_KiB < blocks_per_SM; memory-backed MMA modes would not have a 1KiB logical tile per warp/block;target_profile=rtx3090;architecture_family=ampere_ga10x;chip=ga102;target_full_sm=82;target_l2_mib=6;target_shared_kib_per_sm=100;target_max_shared_kib_per_block=99;nvml_power_usage_semantics=one_sec_average;tensor_modes=fp16_wmma,tf32,bf16,int8,int4,sparsity;shared_resident=0;l2_candidate=0;dram_candidate=0;row_scope=per_gpu;logical_op=warp_m16n16k16;wmma_fallback=1;reuse_factor=1;load_repeat=1;store_repeat=1;reg_payload_bytes_per_block=256;reg_payload_regs_per_thread=2;reg_payload_bytes_per_sm=2048;expected_reg_pressure_ops=0;expected_reg_operand_ops=0;expected_shared_bytes=0;expected_l2_bytes=0;expected_dram_bytes=0;expected_store_bytes=2624;gpu_active=1;energy_source=nvml_total_energy;power_mw=109671;nvml_field_api_unavailable=no_nvml_header;power_limit_mw=370000;ecc_unavailable=Not Supported;energy_source=nvml_total_energy;power_mw=109671;nvml_field_api_unavailable=no_nvml_header;power_limit_mw=370000;ecc_unavailable=Not Supported;smid_unique=82;smid_total_blocks=656;smid_max_blocks_on_sm=8;runtime_device_name=NVIDIA GeForce RTX 3090;runtime_compute_capability=8.6;runtime_sm_count=82;runtime_l2_bytes=6291456;runtime_shared_mem_per_block_optin_bytes=101376;"
reg_pressure_1783030852272_r0,0,1,reg_pressure,1,8,32,82,38241286,0,2.925081114,27915328465,27916091209,762.744,308.329290241,454.414709759,0,0,0,128,1,1,1,1,256,2,2048,1605522151424,0,0,0,0,0,0,0,0,0,0,0,0,true,1935,9501,66,rtx3090,ampere_ga10x,ga102,8.6,82,6,100,"fp16_wmma,tf32,bf16,int8,int4,sparsity",nvml_total_energy,total_energy_mj_delta,true,one_sec_average,false,false,109983,274238,0,0,591.86,13.590.57,"regime=below_logical_tile;feasibility_reason=W_SM_KiB < blocks_per_SM; memory-backed MMA modes would not have a 1KiB logical tile per warp/block;target_profile=rtx3090;architecture_family=ampere_ga10x;chip=ga102;target_full_sm=82;target_l2_mib=6;target_shared_kib_per_sm=100;target_max_shared_kib_per_block=99;nvml_power_usage_semantics=one_sec_average;tensor_modes=fp16_wmma,tf32,bf16,int8,int4,sparsity;shared_resident=0;l2_candidate=0;dram_candidate=0;row_scope=per_gpu;logical_op=warp_m16n16k16;wmma_fallback=1;reuse_factor=1;load_repeat=1;store_repeat=1;reg_payload_bytes_per_block=256;reg_payload_regs_per_thread=2;reg_payload_bytes_per_sm=2048;expected_reg_pressure_ops=1605522151424;expected_reg_operand_ops=0;expected_shared_bytes=0;expected_l2_bytes=0;expected_dram_bytes=0;expected_store_bytes=0;gpu_active=1;energy_source=nvml_total_energy;power_mw=109983;nvml_field_api_unavailable=no_nvml_header;power_limit_mw=370000;ecc_unavailable=Not Supported;energy_source=nvml_total_energy;power_mw=274238;nvml_field_api_unavailable=no_nvml_header;power_limit_mw=370000;ecc_unavailable=Not Supported;smid_unique=82;smid_total_blocks=656;smid_max_blocks_on_sm=8;runtime_device_name=NVIDIA GeForce RTX 3090;runtime_compute_capability=8.6;runtime_sm_count=82;runtime_l2_bytes=6291456;runtime_shared_mem_per_block_optin_bytes=101376;"
empty_1783030855608_r0,0,1,empty,1,8,32,82,38241286,0,0.059064812,27916487658,27916487658,0,7.09740279736,-7.09740279736,0,0,0,128,1,1,1,1,256,2,2048,0,0,0,0,0,2624,0,0,0,0,0,0,0,true,1740,9501,53,rtx3090,ampere_ga10x,ga102,8.6,82,6,100,"fp16_wmma,tf32,bf16,int8,int4,sparsity",nvml_total_energy,total_energy_mj_delta,true,one_sec_average,false,false,109827,109827,0,0,591.86,13.590.57,"regime=below_logical_tile;feasibility_reason=W_SM_KiB < blocks_per_SM; memory-backed MMA modes would not have a 1KiB logical tile per warp/block;target_profile=rtx3090;architecture_family=ampere_ga10x;chip=ga102;target_full_sm=82;target_l2_mib=6;target_shared_kib_per_sm=100;target_max_shared_kib_per_block=99;nvml_power_usage_semantics=one_sec_average;tensor_modes=fp16_wmma,tf32,bf16,int8,int4,sparsity;shared_resident=0;l2_candidate=0;dram_candidate=0;row_scope=per_gpu;logical_op=warp_m16n16k16;wmma_fallback=1;reuse_factor=1;load_repeat=1;store_repeat=1;reg_payload_bytes_per_block=256;reg_payload_regs_per_thread=2;reg_payload_bytes_per_sm=2048;expected_reg_pressure_ops=0;expected_reg_operand_ops=0;expected_shared_bytes=0;expected_l2_bytes=0;expected_dram_bytes=0;expected_store_bytes=2624;gpu_active=1;energy_source=nvml_total_energy;power_mw=109827;nvml_field_api_unavailable=no_nvml_header;power_limit_mw=370000;ecc_unavailable=Not Supported;energy_source=nvml_total_energy;power_mw=109827;nvml_field_api_unavailable=no_nvml_header;power_limit_mw=370000;ecc_unavailable=Not Supported;smid_unique=82;smid_total_blocks=656;smid_max_blocks_on_sm=8;runtime_device_name=NVIDIA GeForce RTX 3090;runtime_compute_capability=8.6;runtime_sm_count=82;runtime_l2_bytes=6291456;runtime_shared_mem_per_block_optin_bytes=101376;"
reg_pressure_1783030861846_r0,0,1,reg_pressure,1,8,32,82,38241286,0,2.935850916,27916843758,27917602409,758.651,312.533496411,446.117503589,0,0,0,128,1,1,1,1,256,2,2048,1605522151424,0,0,0,0,0,0,0,0,0,0,0,0,true,1935,9501,66,rtx3090,ampere_ga10x,ga102,8.6,82,6,100,"fp16_wmma,tf32,bf16,int8,int4,sparsity",nvml_total_energy,total_energy_mj_delta,true,one_sec_average,false,false,109682,275861,0,0,591.86,13.590.57,"regime=below_logical_tile;feasibility_reason=W_SM_KiB < blocks_per_SM; memory-backed MMA modes would not have a 1KiB logical tile per warp/block;target_profile=rtx3090;architecture_family=ampere_ga10x;chip=ga102;target_full_sm=82;target_l2_mib=6;target_shared_kib_per_sm=100;target_max_shared_kib_per_block=99;nvml_power_usage_semantics=one_sec_average;tensor_modes=fp16_wmma,tf32,bf16,int8,int4,sparsity;shared_resident=0;l2_candidate=0;dram_candidate=0;row_scope=per_gpu;logical_op=warp_m16n16k16;wmma_fallback=1;reuse_factor=1;load_repeat=1;store_repeat=1;reg_payload_bytes_per_block=256;reg_payload_regs_per_thread=2;reg_payload_bytes_per_sm=2048;expected_reg_pressure_ops=1605522151424;expected_reg_operand_ops=0;expected_shared_bytes=0;expected_l2_bytes=0;expected_dram_bytes=0;expected_store_bytes=0;gpu_active=1;energy_source=nvml_total_energy;power_mw=109682;nvml_field_api_unavailable=no_nvml_header;power_limit_mw=370000;ecc_unavailable=Not Supported;energy_source=nvml_total_energy;power_mw=275861;nvml_field_api_unavailable=no_nvml_header;power_limit_mw=370000;ecc_unavailable=Not Supported;smid_unique=82;smid_total_blocks=656;smid_max_blocks_on_sm=8;runtime_device_name=NVIDIA GeForce RTX 3090;runtime_compute_capability=8.6;runtime_sm_count=82;runtime_l2_bytes=6291456;runtime_shared_mem_per_block_optin_bytes=101376;"
empty_1783030871873_r0,0,1,empty,1,8,32,82,20417419,0,0.033448279,27919456062,27919456062,0,4.09953507678,-4.09953507678,0,0,0,128,1,4,1,1,256,2,2048,0,0,0,0,0,2624,0,0,0,0,0,0,0,true,1740,9501,55,rtx3090,ampere_ga10x,ga102,8.6,82,6,100,"fp16_wmma,tf32,bf16,int8,int4,sparsity",nvml_total_energy,total_energy_mj_delta,true,one_sec_average,false,false,111568,111568,0,0,591.86,13.590.57,"regime=below_logical_tile;feasibility_reason=W_SM_KiB < blocks_per_SM; memory-backed MMA modes would not have a 1KiB logical tile per warp/block;target_profile=rtx3090;architecture_family=ampere_ga10x;chip=ga102;target_full_sm=82;target_l2_mib=6;target_shared_kib_per_sm=100;target_max_shared_kib_per_block=99;nvml_power_usage_semantics=one_sec_average;tensor_modes=fp16_wmma,tf32,bf16,int8,int4,sparsity;shared_resident=0;l2_candidate=0;dram_candidate=0;row_scope=per_gpu;logical_op=warp_m16n16k16;wmma_fallback=1;reuse_factor=4;load_repeat=1;store_repeat=1;reg_payload_bytes_per_block=256;reg_payload_regs_per_thread=2;reg_payload_bytes_per_sm=2048;expected_reg_pressure_ops=0;expected_reg_operand_ops=0;expected_shared_bytes=0;expected_l2_bytes=0;expected_dram_bytes=0;expected_store_bytes=2624;gpu_active=1;energy_source=nvml_total_energy;power_mw=111568;nvml_field_api_unavailable=no_nvml_header;power_limit_mw=370000;ecc_unavailable=Not Supported;energy_source=nvml_total_energy;power_mw=111568;nvml_field_api_unavailable=no_nvml_header;power_limit_mw=370000;ecc_unavailable=Not Supported;smid_unique=82;smid_total_blocks=656;smid_max_blocks_on_sm=8;runtime_device_name=NVIDIA GeForce RTX 3090;runtime_compute_capability=8.6;runtime_sm_count=82;runtime_l2_bytes=6291456;runtime_shared_mem_per_block_optin_bytes=101376;"
reg_pressure_1783030878467_r0,0,1,reg_pressure,1,8,32,82,20417419,0,3.303210831,27919813446,27920813364,999.918,355.360878419,644.557121581,0,0,0,128,1,4,1,1,256,2,2048,3428819677184,0,0,0,0,0,0,0,0,0,0,0,0,true,1920,9501,72,rtx3090,ampere_ga10x,ga102,8.6,82,6,100,"fp16_wmma,tf32,bf16,int8,int4,sparsity",nvml_total_energy,total_energy_mj_delta,true,one_sec_average,false,false,111320,329772,0,0,591.86,13.590.57,"regime=below_logical_tile;feasibility_reason=W_SM_KiB < blocks_per_SM; memory-backed MMA modes would not have a 1KiB logical tile per warp/block;target_profile=rtx3090;architecture_family=ampere_ga10x;chip=ga102;target_full_sm=82;target_l2_mib=6;target_shared_kib_per_sm=100;target_max_shared_kib_per_block=99;nvml_power_usage_semantics=one_sec_average;tensor_modes=fp16_wmma,tf32,bf16,int8,int4,sparsity;shared_resident=0;l2_candidate=0;dram_candidate=0;row_scope=per_gpu;logical_op=warp_m16n16k16;wmma_fallback=1;reuse_factor=4;load_repeat=1;store_repeat=1;reg_payload_bytes_per_block=256;reg_payload_regs_per_thread=2;reg_payload_bytes_per_sm=2048;expected_reg_pressure_ops=3428819677184;expected_reg_operand_ops=0;expected_shared_bytes=0;expected_l2_bytes=0;expected_dram_bytes=0;expected_store_bytes=0;gpu_active=1;energy_source=nvml_total_energy;power_mw=111320;nvml_field_api_unavailable=no_nvml_header;power_limit_mw=370000;ecc_unavailable=Not Supported;energy_source=nvml_total_energy;power_mw=329772;nvml_field_api_unavailable=no_nvml_header;power_limit_mw=370000;ecc_unavailable=Not Supported;smid_unique=82;smid_total_blocks=656;smid_max_blocks_on_sm=8;runtime_device_name=NVIDIA GeForce RTX 3090;runtime_compute_capability=8.6;runtime_sm_count=82;runtime_l2_bytes=6291456;runtime_shared_mem_per_block_optin_bytes=101376;"
empty_1783030880875_r0,0,1,empty,1,8,32,82,20417419,0,0.033014079,27921237996,27921247197,9.201,4.05674144283,5.14425855717,0,0,0,128,1,4,1,1,256,2,2048,0,0,0,0,0,2624,0,0,0,0,0,0,0,true,1740,9501,56,rtx3090,ampere_ga10x,ga102,8.6,82,6,100,"fp16_wmma,tf32,bf16,int8,int4,sparsity",nvml_total_energy,total_energy_mj_delta,true,one_sec_average,false,false,112434,113130,0,0,591.86,13.590.57,"regime=below_logical_tile;feasibility_reason=W_SM_KiB < blocks_per_SM; memory-backed MMA modes would not have a 1KiB logical tile per warp/block;target_profile=rtx3090;architecture_family=ampere_ga10x;chip=ga102;target_full_sm=82;target_l2_mib=6;target_shared_kib_per_sm=100;target_max_shared_kib_per_block=99;nvml_power_usage_semantics=one_sec_average;tensor_modes=fp16_wmma,tf32,bf16,int8,int4,sparsity;shared_resident=0;l2_candidate=0;dram_candidate=0;row_scope=per_gpu;logical_op=warp_m16n16k16;wmma_fallback=1;reuse_factor=4;load_repeat=1;store_repeat=1;reg_payload_bytes_per_block=256;reg_payload_regs_per_thread=2;reg_payload_bytes_per_sm=2048;expected_reg_pressure_ops=0;expected_reg_operand_ops=0;expected_shared_bytes=0;expected_l2_bytes=0;expected_dram_bytes=0;expected_store_bytes=2624;gpu_active=1;energy_source=nvml_total_energy;power_mw=112434;nvml_field_api_unavailable=no_nvml_header;power_limit_mw=370000;ecc_unavailable=Not Supported;energy_source=nvml_total_energy;power_mw=113130;nvml_field_api_unavailable=no_nvml_header;power_limit_mw=370000;ecc_unavailable=Not Supported;smid_unique=82;smid_total_blocks=656;smid_max_blocks_on_sm=8;runtime_device_name=NVIDIA GeForce RTX 3090;runtime_compute_capability=8.6;runtime_sm_count=82;runtime_l2_bytes=6291456;runtime_shared_mem_per_block_optin_bytes=101376;"
reg_pressure_1783030887461_r0,0,1,reg_pressure,1,8,32,82,20417419,0,3.298074167,27921602245,27922622410,1020.165,366.298034257,653.866965743,0,0,0,128,1,4,1,1,256,2,2048,3428819677184,0,0,0,0,0,0,0,0,0,0,0,0,true,1920,9501,73,rtx3090,ampere_ga10x,ga102,8.6,82,6,100,"fp16_wmma,tf32,bf16,int8,int4,sparsity",nvml_total_energy,total_energy_mj_delta,true,one_sec_average,false,false,111246,329724,0,0,591.86,13.590.57,"regime=below_logical_tile;feasibility_reason=W_SM_KiB < blocks_per_SM; memory-backed MMA modes would not have a 1KiB logical tile per warp/block;target_profile=rtx3090;architecture_family=ampere_ga10x;chip=ga102;target_full_sm=82;target_l2_mib=6;target_shared_kib_per_sm=100;target_max_shared_kib_per_block=99;nvml_power_usage_semantics=one_sec_average;tensor_modes=fp16_wmma,tf32,bf16,int8,int4,sparsity;shared_resident=0;l2_candidate=0;dram_candidate=0;row_scope=per_gpu;logical_op=warp_m16n16k16;wmma_fallback=1;reuse_factor=4;load_repeat=1;store_repeat=1;reg_payload_bytes_per_block=256;reg_payload_regs_per_thread=2;reg_payload_bytes_per_sm=2048;expected_reg_pressure_ops=3428819677184;expected_reg_operand_ops=0;expected_shared_bytes=0;expected_l2_bytes=0;expected_dram_bytes=0;expected_store_bytes=0;gpu_active=1;energy_source=nvml_total_energy;power_mw=111246;nvml_field_api_unavailable=no_nvml_header;power_limit_mw=370000;ecc_unavailable=Not Supported;energy_source=nvml_total_energy;power_mw=329724;nvml_field_api_unavailable=no_nvml_header;power_limit_mw=370000;ecc_unavailable=Not Supported;smid_unique=82;smid_total_blocks=656;smid_max_blocks_on_sm=8;runtime_device_name=NVIDIA GeForce RTX 3090;runtime_compute_capability=8.6;runtime_sm_count=82;runtime_l2_bytes=6291456;runtime_shared_mem_per_block_optin_bytes=101376;"
empty_1783030890785_r0,0,1,empty,1,8,32,82,20417419,0,0.034587441,27923037582,27923037582,0,4.40756160277,-4.40756160277,0,0,0,128,1,4,1,1,256,2,2048,0,0,0,0,0,2624,0,0,0,0,0,0,0,true,1740,9501,57,rtx3090,ampere_ga10x,ga102,8.6,82,6,100,"fp16_wmma,tf32,bf16,int8,int4,sparsity",nvml_total_energy,total_energy_mj_delta,true,one_sec_average,false,false,112752,112752,0,0,591.86,13.590.57,"regime=below_logical_tile;feasibility_reason=W_SM_KiB < blocks_per_SM; memory-backed MMA modes would not have a 1KiB logical tile per warp/block;target_profile=rtx3090;architecture_family=ampere_ga10x;chip=ga102;target_full_sm=82;target_l2_mib=6;target_shared_kib_per_sm=100;target_max_shared_kib_per_block=99;nvml_power_usage_semantics=one_sec_average;tensor_modes=fp16_wmma,tf32,bf16,int8,int4,sparsity;shared_resident=0;l2_candidate=0;dram_candidate=0;row_scope=per_gpu;logical_op=warp_m16n16k16;wmma_fallback=1;reuse_factor=4;load_repeat=1;store_repeat=1;reg_payload_bytes_per_block=256;reg_payload_regs_per_thread=2;reg_payload_bytes_per_sm=2048;expected_reg_pressure_ops=0;expected_reg_operand_ops=0;expected_shared_bytes=0;expected_l2_bytes=0;expected_dram_bytes=0;expected_store_bytes=2624;gpu_active=1;energy_source=nvml_total_energy;power_mw=112752;nvml_field_api_unavailable=no_nvml_header;power_limit_mw=370000;ecc_unavailable=Not Supported;energy_source=nvml_total_energy;power_mw=112752;nvml_field_api_unavailable=no_nvml_header;power_limit_mw=370000;ecc_unavailable=Not Supported;smid_unique=82;smid_total_blocks=656;smid_max_blocks_on_sm=8;runtime_device_name=NVIDIA GeForce RTX 3090;runtime_compute_capability=8.6;runtime_sm_count=82;runtime_l2_bytes=6291456;runtime_shared_mem_per_block_optin_bytes=101376;"
reg_pressure_1783030897367_r0,0,1,reg_pressure,1,8,32,82,20417419,0,3.302193664,27923395027,27924414990,1019.963,356.992122321,662.970877679,0,0,0,128,1,4,1,1,256,2,2048,3428819677184,0,0,0,0,0,0,0,0,0,0,0,0,true,1905,9501,73,rtx3090,ampere_ga10x,ga102,8.6,82,6,100,"fp16_wmma,tf32,bf16,int8,int4,sparsity",nvml_total_energy,total_energy_mj_delta,true,one_sec_average,false,false,112352,330916,0,0,591.86,13.590.57,"regime=below_logical_tile;feasibility_reason=W_SM_KiB < blocks_per_SM; memory-backed MMA modes would not have a 1KiB logical tile per warp/block;target_profile=rtx3090;architecture_family=ampere_ga10x;chip=ga102;target_full_sm=82;target_l2_mib=6;target_shared_kib_per_sm=100;target_max_shared_kib_per_block=99;nvml_power_usage_semantics=one_sec_average;tensor_modes=fp16_wmma,tf32,bf16,int8,int4,sparsity;shared_resident=0;l2_candidate=0;dram_candidate=0;row_scope=per_gpu;logical_op=warp_m16n16k16;wmma_fallback=1;reuse_factor=4;load_repeat=1;store_repeat=1;reg_payload_bytes_per_block=256;reg_payload_regs_per_thread=2;reg_payload_bytes_per_sm=2048;expected_reg_pressure_ops=3428819677184;expected_reg_operand_ops=0;expected_shared_bytes=0;expected_l2_bytes=0;expected_dram_bytes=0;expected_store_bytes=0;gpu_active=1;energy_source=nvml_total_energy;power_mw=112352;nvml_field_api_unavailable=no_nvml_header;power_limit_mw=370000;ecc_unavailable=Not Supported;energy_source=nvml_total_energy;power_mw=330916;nvml_field_api_unavailable=no_nvml_header;power_limit_mw=370000;ecc_unavailable=Not Supported;smid_unique=82;smid_total_blocks=656;smid_max_blocks_on_sm=8;runtime_device_name=NVIDIA GeForce RTX 3090;runtime_compute_capability=8.6;runtime_sm_count=82;runtime_l2_bytes=6291456;runtime_shared_mem_per_block_optin_bytes=101376;"
empty_1783030907479_r0,0,1,empty,1,16,32,82,29157861,0,0.060826345,27926298313,27926298313,0,7.79057904318,-7.79057904318,0,0,0,64,1,1,1,1,256,2,4096,0,0,0,0,0,5248,0,0,0,0,0,0,0,true,1740,9501,58,rtx3090,ampere_ga10x,ga102,8.6,82,6,100,"fp16_wmma,tf32,bf16,int8,int4,sparsity",nvml_total_energy,total_energy_mj_delta,true,one_sec_average,false,false,113769,113769,0,0,591.86,13.590.57,"regime=below_logical_tile;feasibility_reason=W_SM_KiB < blocks_per_SM; memory-backed MMA modes would not have a 1KiB logical tile per warp/block;target_profile=rtx3090;architecture_family=ampere_ga10x;chip=ga102;target_full_sm=82;target_l2_mib=6;target_shared_kib_per_sm=100;target_max_shared_kib_per_block=99;nvml_power_usage_semantics=one_sec_average;tensor_modes=fp16_wmma,tf32,bf16,int8,int4,sparsity;shared_resident=0;l2_candidate=0;dram_candidate=0;row_scope=per_gpu;logical_op=warp_m16n16k16;wmma_fallback=1;reuse_factor=1;load_repeat=1;store_repeat=1;reg_payload_bytes_per_block=256;reg_payload_regs_per_thread=2;reg_payload_bytes_per_sm=4096;expected_reg_pressure_ops=0;expected_reg_operand_ops=0;expected_shared_bytes=0;expected_l2_bytes=0;expected_dram_bytes=0;expected_store_bytes=5248;gpu_active=1;energy_source=nvml_total_energy;power_mw=113769;nvml_field_api_unavailable=no_nvml_header;power_limit_mw=370000;ecc_unavailable=Not Supported;energy_source=nvml_total_energy;power_mw=113769;nvml_field_api_unavailable=no_nvml_header;power_limit_mw=370000;ecc_unavailable=Not Supported;smid_unique=82;smid_total_blocks=1312;smid_max_blocks_on_sm=16;runtime_device_name=NVIDIA GeForce RTX 3090;runtime_compute_capability=8.6;runtime_sm_count=82;runtime_l2_bytes=6291456;runtime_shared_mem_per_block_optin_bytes=101376;"
reg_pressure_1783030913174_r0,0,1,reg_pressure,1,16,32,82,29157861,0,3.311400343,27926662664,27927703222,1040.558,360.448298664,680.109701336,0,0,0,64,1,1,1,1,256,2,4096,2448327272448,0,0,0,0,0,0,0,0,0,0,0,0,true,1920,9501,70,rtx3090,ampere_ga10x,ga102,8.6,82,6,100,"fp16_wmma,tf32,bf16,int8,int4,sparsity",nvml_total_energy,total_energy_mj_delta,true,one_sec_average,false,false,113203,298489,0,0,591.86,13.590.57,"regime=below_logical_tile;feasibility_reason=W_SM_KiB < blocks_per_SM; memory-backed MMA modes would not have a 1KiB logical tile per warp/block;target_profile=rtx3090;architecture_family=ampere_ga10x;chip=ga102;target_full_sm=82;target_l2_mib=6;target_shared_kib_per_sm=100;target_max_shared_kib_per_block=99;nvml_power_usage_semantics=one_sec_average;tensor_modes=fp16_wmma,tf32,bf16,int8,int4,sparsity;shared_resident=0;l2_candidate=0;dram_candidate=0;row_scope=per_gpu;logical_op=warp_m16n16k16;wmma_fallback=1;reuse_factor=1;load_repeat=1;store_repeat=1;reg_payload_bytes_per_block=256;reg_payload_regs_per_thread=2;reg_payload_bytes_per_sm=4096;expected_reg_pressure_ops=2448327272448;expected_reg_operand_ops=0;expected_shared_bytes=0;expected_l2_bytes=0;expected_dram_bytes=0;expected_store_bytes=0;gpu_active=1;energy_source=nvml_total_energy;power_mw=113203;nvml_field_api_unavailable=no_nvml_header;power_limit_mw=370000;ecc_unavailable=Not Supported;energy_source=nvml_total_energy;power_mw=298489;nvml_field_api_unavailable=no_nvml_header;power_limit_mw=370000;ecc_unavailable=Not Supported;smid_unique=82;smid_total_blocks=1312;smid_max_blocks_on_sm=16;runtime_device_name=NVIDIA GeForce RTX 3090;runtime_compute_capability=8.6;runtime_sm_count=82;runtime_l2_bytes=6291456;runtime_shared_mem_per_block_optin_bytes=101376;"
