run_id,gpu_id,n_gpu_active,mode,W_SM_KiB,blocks_per_SM,threads_per_block,active_SM,ITER,sweeps,elapsed_s,E_before_mJ,E_after_mJ,delta_E_J,idle_baseline_J,net_E_J,N_MMA,FLOP,input_bits,w_block_bytes,tiles_per_block,reuse_factor,load_repeat,store_repeat,reg_payload_bytes_per_block,reg_payload_regs_per_thread,reg_payload_bytes_per_sm,expected_reg_pressure_ops,expected_reg_operand_ops,expected_shared_bytes,expected_l1_bytes,expected_l2_bytes,expected_dram_bytes,expected_store_bytes,expected_addr_ops,pJ_per_FLOP,pJ_per_input_bit,ncu_tensor_inst,ncu_shared_bytes,ncu_l1_bytes,ncu_l2_bytes,ncu_dram_bytes,ncu_spill_bytes,smid_histogram_ok,clock_sm_mhz,clock_mem_mhz,temp_C,profile_name,architecture_family,chip,compute_capability,sm_count,l2_mib,shared_kib_per_sm,tensor_modes,energy_source,energy_integration_method,mode_family,denominator_level,nvml_total_energy_supported,nvml_power_usage_semantics,nvml_field_power_instant_supported,nvml_field_power_average_supported,power_before_mw,power_after_mw,power_sample_count,power_sample_period_ms,driver_version,nvml_version,notes,ncu_shared_accesses,ncu_l1_accesses,ncu_l2_accesses,ncu_dram_accesses,ncu_tensor_hmma_inst,ncu_status,ncu_l1_hit_rate_pct,ncu_l2_hit_rate_pct,ncu_stall_long_scoreboard_pct,ncu_stall_short_scoreboard_pct,ncu_stall_wait_pct,ncu_stall_not_selected_pct,ncu_spill_local_read_inst,ncu_spill_local_write_inst,ncu_missing_metrics,ncu_optional_missing_metrics,ncu_validation_notes
clocked_empty_1783176341057_r0,0,1,clocked_empty,16,16,32,82,500000,0,0.041555714,1536804749,1536811912,7.163,4.29523827915,2.86776172085,0,0,0,1024,1,1,1,1,0,0,0,0,0,0,0,0,0,5248,0,0,0,0,0,0,0,0,0,true,1740,9501,45,rtx3090,ampere_ga10x,ga102,8.6,82,6,100,"fp16_wmma,tf32,bf16,int8,int4,sparsity",nvml_total_energy,total_energy_mj_delta,control,none,true,one_sec_average,false,false,97753,105653,0,0,591.86,13.590.57,"regime=shared_resident;feasibility_reason=W_SM + B KiB fits rtx3090 shared memory capacity; full-GPU working set also fits nominal L2;target_profile=rtx3090;architecture_family=ampere_ga10x;chip=ga102;target_full_sm=82;target_l2_mib=6;target_shared_kib_per_sm=100;target_max_shared_kib_per_block=99;nvml_power_usage_semantics=one_sec_average;tensor_modes=fp16_wmma,tf32,bf16,int8,int4,sparsity;shared_resident=1;l2_candidate=1;dram_candidate=0;row_scope=per_gpu;logical_op=warp_m16n16k16;wmma_fallback=1;reuse_factor=1;load_repeat=1;store_repeat=1;reg_payload_bytes_per_block=0;reg_payload_regs_per_thread=0;reg_payload_bytes_per_sm=0;expected_reg_pressure_ops=0;expected_reg_operand_ops=0;expected_shared_bytes=0;expected_l1_bytes=0;expected_l2_bytes=0;expected_dram_bytes=0;expected_store_bytes=5248;expected_addr_ops=0;mode_family=control;denominator_level=none;gpu_active=1;energy_source=nvml_total_energy;power_mw=97753;nvml_field_api_unavailable=no_nvml_header;power_limit_mw=370000;ecc_unavailable=Not Supported;energy_source=nvml_total_energy;power_mw=105653;nvml_field_api_unavailable=no_nvml_header;power_limit_mw=370000;ecc_unavailable=Not Supported;smid_unique=82;smid_total_blocks=1312;smid_max_blocks_on_sm=16;runtime_device_name=NVIDIA GeForce RTX 3090;runtime_compute_capability=8.6;runtime_sm_count=82;runtime_l2_bytes=6291456;runtime_shared_mem_per_block_optin_bytes=101376;ncu_join_status=missing;",,,,,,,,,,,,,,,,,
global_l1_load_only_1783176342523_r0,0,1,global_l1_load_only,16,16,32,82,500000,500000,0.202053771,1536941058,1536975956,34.898,21.1967694099,13.7012305901,0,0,0,1024,1,1,1,1,0,0,0,0,0,0,671744000000,0,0,1343488,0,0,0,0,0,1.34349e+12,4408100000,3353020000,0,true,1905,9501,46,rtx3090,ampere_ga10x,ga102,8.6,82,6,100,"fp16_wmma,tf32,bf16,int8,int4,sparsity",nvml_total_energy,total_energy_mj_delta,global_l1,expected_l1_bytes_static,true,one_sec_average,false,false,105743,121506,0,0,591.86,13.590.57,"regime=shared_resident;feasibility_reason=W_SM + B KiB fits rtx3090 shared memory capacity; full-GPU working set also fits nominal L2;target_profile=rtx3090;architecture_family=ampere_ga10x;chip=ga102;target_full_sm=82;target_l2_mib=6;target_shared_kib_per_sm=100;target_max_shared_kib_per_block=99;nvml_power_usage_semantics=one_sec_average;tensor_modes=fp16_wmma,tf32,bf16,int8,int4,sparsity;shared_resident=1;l2_candidate=1;dram_candidate=0;row_scope=per_gpu;logical_op=warp_m16n16k16;wmma_fallback=1;reuse_factor=1;load_repeat=1;store_repeat=1;reg_payload_bytes_per_block=0;reg_payload_regs_per_thread=0;reg_payload_bytes_per_sm=0;expected_reg_pressure_ops=0;expected_reg_operand_ops=0;expected_shared_bytes=0;expected_l1_bytes=671744000000;expected_l2_bytes=0;expected_dram_bytes=0;expected_store_bytes=1343488;expected_addr_ops=0;mode_family=global_l1;denominator_level=expected_l1_bytes_static;gpu_active=1;energy_source=nvml_total_energy;power_mw=105743;nvml_field_api_unavailable=no_nvml_header;power_limit_mw=370000;ecc_unavailable=Not Supported;energy_source=nvml_total_energy;power_mw=121506;nvml_field_api_unavailable=no_nvml_header;power_limit_mw=370000;ecc_unavailable=Not Supported;smid_unique=82;smid_total_blocks=1312;smid_max_blocks_on_sm=16;runtime_device_name=NVIDIA GeForce RTX 3090;runtime_compute_capability=8.6;runtime_sm_count=82;runtime_l2_bytes=6291456;runtime_shared_mem_per_block_optin_bytes=101376;ncu_join_status=joined;ncu_match_type=exact;ncu_label=global_l1_load_only_W16_B16;ncu_status=ok;ncu_iter_scale=5;ncu_load_scale=5;",,41984000000,44997000,48167350,,ok,99.9891,28.7492,10.7234,39.7414,201.83,98.2817,,,,spill_local_read_inst;spill_local_write_inst,
shared_load_only_1783176343932_r0,0,1,shared_load_only,16,16,32,82,500000,500000,0.178877364,1537158714,1537215760,57.046,22.8584869397,34.1875130603,0,0,0,1024,1,1,1,1,0,0,0,0,0,671744000000,0,0,0,1343488,0,0,0,0,0,0,478783750,353830000,0,true,1950,9501,48,rtx3090,ampere_ga10x,ga102,8.6,82,6,100,"fp16_wmma,tf32,bf16,int8,int4,sparsity",nvml_total_energy,total_energy_mj_delta,shared,expected_shared_bytes_static,true,one_sec_average,false,false,129280,158431,0,0,591.86,13.590.57,"regime=shared_resident;feasibility_reason=W_SM + B KiB fits rtx3090 shared memory capacity; full-GPU working set also fits nominal L2;target_profile=rtx3090;architecture_family=ampere_ga10x;chip=ga102;target_full_sm=82;target_l2_mib=6;target_shared_kib_per_sm=100;target_max_shared_kib_per_block=99;nvml_power_usage_semantics=one_sec_average;tensor_modes=fp16_wmma,tf32,bf16,int8,int4,sparsity;shared_resident=1;l2_candidate=1;dram_candidate=0;row_scope=per_gpu;logical_op=warp_m16n16k16;wmma_fallback=1;reuse_factor=1;load_repeat=1;store_repeat=1;reg_payload_bytes_per_block=0;reg_payload_regs_per_thread=0;reg_payload_bytes_per_sm=0;expected_reg_pressure_ops=0;expected_reg_operand_ops=0;expected_shared_bytes=671744000000;expected_l1_bytes=0;expected_l2_bytes=0;expected_dram_bytes=0;expected_store_bytes=1343488;expected_addr_ops=0;mode_family=shared;denominator_level=expected_shared_bytes_static;gpu_active=1;shared_init_included=1;energy_source=nvml_total_energy;power_mw=129280;nvml_field_api_unavailable=no_nvml_header;power_limit_mw=370000;ecc_unavailable=Not Supported;energy_source=nvml_total_energy;power_mw=158431;nvml_field_api_unavailable=no_nvml_header;power_limit_mw=370000;ecc_unavailable=Not Supported;smid_unique=82;smid_total_blocks=1312;smid_max_blocks_on_sm=16;runtime_device_name=NVIDIA GeForce RTX 3090;runtime_compute_capability=8.6;runtime_sm_count=82;runtime_l2_bytes=6291456;runtime_shared_mem_per_block_optin_bytes=101376;ncu_join_status=joined;ncu_match_type=loose;ncu_label=shared_load_only_W16_B16;ncu_status=ok;ncu_iter_scale=5;ncu_load_scale=1.25;",10921687500,,4702575,6269350,,ok,26.8619,54.425,0.000891,89.7858,194.186,80.0038,,,,spill_local_read_inst;spill_local_write_inst,
l2_load_only_1783176345388_r0,0,1,l2_load_only,16,16,32,82,500000,500000,0.183489069,1537371847,1537420393,48.546,23.6651012096,24.8808987904,0,0,0,1024,1,1,1,1,0,0,0,0,0,0,0,671744000000,0,1343488,0,0,0,0,0,1.3434875e+12,423838750,323591250,0,true,1920,9501,49,rtx3090,ampere_ga10x,ga102,8.6,82,6,100,"fp16_wmma,tf32,bf16,int8,int4,sparsity",nvml_total_energy,total_energy_mj_delta,global_l2,expected_l2_bytes_static,true,one_sec_average,false,false,131105,155702,0,0,591.86,13.590.57,"regime=shared_resident;feasibility_reason=W_SM + B KiB fits rtx3090 shared memory capacity; full-GPU working set also fits nominal L2;target_profile=rtx3090;architecture_family=ampere_ga10x;chip=ga102;target_full_sm=82;target_l2_mib=6;target_shared_kib_per_sm=100;target_max_shared_kib_per_block=99;nvml_power_usage_semantics=one_sec_average;tensor_modes=fp16_wmma,tf32,bf16,int8,int4,sparsity;shared_resident=1;l2_candidate=1;dram_candidate=0;row_scope=per_gpu;logical_op=warp_m16n16k16;wmma_fallback=1;reuse_factor=1;load_repeat=1;store_repeat=1;reg_payload_bytes_per_block=0;reg_payload_regs_per_thread=0;reg_payload_bytes_per_sm=0;expected_reg_pressure_ops=0;expected_reg_operand_ops=0;expected_shared_bytes=0;expected_l1_bytes=0;expected_l2_bytes=671744000000;expected_dram_bytes=0;expected_store_bytes=1343488;expected_addr_ops=0;mode_family=global_l2;denominator_level=expected_l2_bytes_static;gpu_active=1;energy_source=nvml_total_energy;power_mw=131105;nvml_field_api_unavailable=no_nvml_header;power_limit_mw=370000;ecc_unavailable=Not Supported;energy_source=nvml_total_energy;power_mw=155702;nvml_field_api_unavailable=no_nvml_header;power_limit_mw=370000;ecc_unavailable=Not Supported;smid_unique=82;smid_total_blocks=1312;smid_max_blocks_on_sm=16;runtime_device_name=NVIDIA GeForce RTX 3090;runtime_compute_capability=8.6;runtime_sm_count=82;runtime_l2_bytes=6291456;runtime_shared_mem_per_block_optin_bytes=101376;ncu_join_status=joined;ncu_match_type=loose;ncu_label=l2_load_only_W16_B16;ncu_status=ok;ncu_iter_scale=5;ncu_load_scale=1.25;",,41984000000,3369425,5877187.5,,ok,99.999,54.3239,16.7124,50.6185,190.272,92.8219,,,,spill_local_read_inst;spill_local_write_inst,
clocked_empty_1783176346679_r0,0,1,clocked_empty,16,16,32,82,500000,0,0.056276721,1537584699,1537596432,11.733,7.24093504727,4.49206495273,0,0,0,1024,1,1,2,1,0,0,0,0,0,0,0,0,0,5248,0,0,0,0,0,0,0,0,0,true,1965,9501,49,rtx3090,ampere_ga10x,ga102,8.6,82,6,100,"fp16_wmma,tf32,bf16,int8,int4,sparsity",nvml_total_energy,total_energy_mj_delta,control,none,true,one_sec_average,false,false,131395,131151,0,0,591.86,13.590.57,"regime=shared_resident;feasibility_reason=W_SM + B KiB fits rtx3090 shared memory capacity; full-GPU working set also fits nominal L2;target_profile=rtx3090;architecture_family=ampere_ga10x;chip=ga102;target_full_sm=82;target_l2_mib=6;target_shared_kib_per_sm=100;target_max_shared_kib_per_block=99;nvml_power_usage_semantics=one_sec_average;tensor_modes=fp16_wmma,tf32,bf16,int8,int4,sparsity;shared_resident=1;l2_candidate=1;dram_candidate=0;row_scope=per_gpu;logical_op=warp_m16n16k16;wmma_fallback=1;reuse_factor=1;load_repeat=2;store_repeat=1;reg_payload_bytes_per_block=0;reg_payload_regs_per_thread=0;reg_payload_bytes_per_sm=0;expected_reg_pressure_ops=0;expected_reg_operand_ops=0;expected_shared_bytes=0;expected_l1_bytes=0;expected_l2_bytes=0;expected_dram_bytes=0;expected_store_bytes=5248;expected_addr_ops=0;mode_family=control;denominator_level=none;gpu_active=1;energy_source=nvml_total_energy;power_mw=131395;nvml_field_api_unavailable=no_nvml_header;power_limit_mw=370000;ecc_unavailable=Not Supported;energy_source=nvml_total_energy;power_mw=131151;nvml_field_api_unavailable=no_nvml_header;power_limit_mw=370000;ecc_unavailable=Not Supported;smid_unique=82;smid_total_blocks=1312;smid_max_blocks_on_sm=16;runtime_device_name=NVIDIA GeForce RTX 3090;runtime_compute_capability=8.6;runtime_sm_count=82;runtime_l2_bytes=6291456;runtime_shared_mem_per_block_optin_bytes=101376;ncu_join_status=missing;",,,,,,,,,,,,,,,,,
global_l1_load_only_1783176348277_r0,0,1,global_l1_load_only,16,16,32,82,500000,1000000,0.354222654,1537745295,1537848635,103.34,40.9575213613,62.3824786387,0,0,0,1024,1,1,2,1,0,0,0,0,0,0,1343488000000,0,0,1343488,0,0,0,0,0,2.686975e+12,1210425000,1012020000,0,true,1935,9501,48,rtx3090,ampere_ga10x,ga102,8.6,82,6,100,"fp16_wmma,tf32,bf16,int8,int4,sparsity",nvml_total_energy,total_energy_mj_delta,global_l1,expected_l1_bytes_static,true,one_sec_average,false,false,117829,166663,0,0,591.86,13.590.57,"regime=shared_resident;feasibility_reason=W_SM + B KiB fits rtx3090 shared memory capacity; full-GPU working set also fits nominal L2;target_profile=rtx3090;architecture_family=ampere_ga10x;chip=ga102;target_full_sm=82;target_l2_mib=6;target_shared_kib_per_sm=100;target_max_shared_kib_per_block=99;nvml_power_usage_semantics=one_sec_average;tensor_modes=fp16_wmma,tf32,bf16,int8,int4,sparsity;shared_resident=1;l2_candidate=1;dram_candidate=0;row_scope=per_gpu;logical_op=warp_m16n16k16;wmma_fallback=1;reuse_factor=1;load_repeat=2;store_repeat=1;reg_payload_bytes_per_block=0;reg_payload_regs_per_thread=0;reg_payload_bytes_per_sm=0;expected_reg_pressure_ops=0;expected_reg_operand_ops=0;expected_shared_bytes=0;expected_l1_bytes=1343488000000;expected_l2_bytes=0;expected_dram_bytes=0;expected_store_bytes=1343488;expected_addr_ops=0;mode_family=global_l1;denominator_level=expected_l1_bytes_static;gpu_active=1;energy_source=nvml_total_energy;power_mw=117829;nvml_field_api_unavailable=no_nvml_header;power_limit_mw=370000;ecc_unavailable=Not Supported;energy_source=nvml_total_energy;power_mw=166663;nvml_field_api_unavailable=no_nvml_header;power_limit_mw=370000;ecc_unavailable=Not Supported;smid_unique=82;smid_total_blocks=1312;smid_max_blocks_on_sm=16;runtime_device_name=NVIDIA GeForce RTX 3090;runtime_compute_capability=8.6;runtime_sm_count=82;runtime_l2_bytes=6291456;runtime_shared_mem_per_block_optin_bytes=101376;ncu_join_status=joined;ncu_match_type=exact;ncu_label=global_l1_load_only_W16_B16;ncu_status=ok;ncu_iter_scale=5;ncu_load_scale=5;",,83968000000,6649400,23200200,,ok,99.9988,40.1891,13.3754,44.2146,201.369,97.0667,,,,spill_local_read_inst;spill_local_write_inst,
shared_load_only_1783176349908_r0,0,1,shared_load_only,16,16,32,82,500000,1000000,0.328471686,1538024555,1538108034,83.479,42.3438174029,41.1351825971,0,0,0,1024,1,1,2,1,0,0,0,0,0,1343488000000,0,0,0,1343488,0,0,0,0,0,0,957567500,707660000,0,true,1935,9501,50,rtx3090,ampere_ga10x,ga102,8.6,82,6,100,"fp16_wmma,tf32,bf16,int8,int4,sparsity",nvml_total_energy,total_energy_mj_delta,shared,expected_shared_bytes_static,true,one_sec_average,false,false,132128,176948,0,0,591.86,13.590.57,"regime=shared_resident;feasibility_reason=W_SM + B KiB fits rtx3090 shared memory capacity; full-GPU working set also fits nominal L2;target_profile=rtx3090;architecture_family=ampere_ga10x;chip=ga102;target_full_sm=82;target_l2_mib=6;target_shared_kib_per_sm=100;target_max_shared_kib_per_block=99;nvml_power_usage_semantics=one_sec_average;tensor_modes=fp16_wmma,tf32,bf16,int8,int4,sparsity;shared_resident=1;l2_candidate=1;dram_candidate=0;row_scope=per_gpu;logical_op=warp_m16n16k16;wmma_fallback=1;reuse_factor=1;load_repeat=2;store_repeat=1;reg_payload_bytes_per_block=0;reg_payload_regs_per_thread=0;reg_payload_bytes_per_sm=0;expected_reg_pressure_ops=0;expected_reg_operand_ops=0;expected_shared_bytes=1343488000000;expected_l1_bytes=0;expected_l2_bytes=0;expected_dram_bytes=0;expected_store_bytes=1343488;expected_addr_ops=0;mode_family=shared;denominator_level=expected_shared_bytes_static;gpu_active=1;shared_init_included=1;energy_source=nvml_total_energy;power_mw=132128;nvml_field_api_unavailable=no_nvml_header;power_limit_mw=370000;ecc_unavailable=Not Supported;energy_source=nvml_total_energy;power_mw=176948;nvml_field_api_unavailable=no_nvml_header;power_limit_mw=370000;ecc_unavailable=Not Supported;smid_unique=82;smid_total_blocks=1312;smid_max_blocks_on_sm=16;runtime_device_name=NVIDIA GeForce RTX 3090;runtime_compute_capability=8.6;runtime_sm_count=82;runtime_l2_bytes=6291456;runtime_shared_mem_per_block_optin_bytes=101376;ncu_join_status=joined;ncu_match_type=loose;ncu_label=shared_load_only_W16_B16;ncu_status=ok;ncu_iter_scale=5;ncu_load_scale=2.5;",21843375000,,9405150,12538700,,ok,26.8619,54.425,0.000891,89.7858,194.186,80.0038,,,,spill_local_read_inst;spill_local_write_inst,
l2_load_only_1783176351498_r0,0,1,l2_load_only,16,16,32,82,500000,1000000,0.340306598,1538289207,1538383684,94.477,44.0647337027,50.4122662973,0,0,0,1024,1,1,2,1,0,0,0,0,0,0,0,1343488000000,0,1343488,0,0,0,0,0,2.686975e+12,847677500,647182500,0,true,1935,9501,51,rtx3090,ampere_ga10x,ga102,8.6,82,6,100,"fp16_wmma,tf32,bf16,int8,int4,sparsity",nvml_total_energy,total_energy_mj_delta,global_l2,expected_l2_bytes_static,true,one_sec_average,false,false,132625,185906,0,0,591.86,13.590.57,"regime=shared_resident;feasibility_reason=W_SM + B KiB fits rtx3090 shared memory capacity; full-GPU working set also fits nominal L2;target_profile=rtx3090;architecture_family=ampere_ga10x;chip=ga102;target_full_sm=82;target_l2_mib=6;target_shared_kib_per_sm=100;target_max_shared_kib_per_block=99;nvml_power_usage_semantics=one_sec_average;tensor_modes=fp16_wmma,tf32,bf16,int8,int4,sparsity;shared_resident=1;l2_candidate=1;dram_candidate=0;row_scope=per_gpu;logical_op=warp_m16n16k16;wmma_fallback=1;reuse_factor=1;load_repeat=2;store_repeat=1;reg_payload_bytes_per_block=0;reg_payload_regs_per_thread=0;reg_payload_bytes_per_sm=0;expected_reg_pressure_ops=0;expected_reg_operand_ops=0;expected_shared_bytes=0;expected_l1_bytes=0;expected_l2_bytes=1343488000000;expected_dram_bytes=0;expected_store_bytes=1343488;expected_addr_ops=0;mode_family=global_l2;denominator_level=expected_l2_bytes_static;gpu_active=1;energy_source=nvml_total_energy;power_mw=132625;nvml_field_api_unavailable=no_nvml_header;power_limit_mw=370000;ecc_unavailable=Not Supported;energy_source=nvml_total_energy;power_mw=185906;nvml_field_api_unavailable=no_nvml_header;power_limit_mw=370000;ecc_unavailable=Not Supported;smid_unique=82;smid_total_blocks=1312;smid_max_blocks_on_sm=16;runtime_device_name=NVIDIA GeForce RTX 3090;runtime_compute_capability=8.6;runtime_sm_count=82;runtime_l2_bytes=6291456;runtime_shared_mem_per_block_optin_bytes=101376;ncu_join_status=joined;ncu_match_type=loose;ncu_label=l2_load_only_W16_B16;ncu_status=ok;ncu_iter_scale=5;ncu_load_scale=2.5;",,83968000000,6738850,11754375,,ok,99.999,54.3239,16.7124,50.6185,190.272,92.8219,,,,spill_local_read_inst;spill_local_write_inst,
clocked_empty_1783176352797_r0,0,1,clocked_empty,16,16,32,82,500000,0,0.06751154,1538554557,1538565391,10.834,8.8943571871,1.9396428129,0,0,0,1024,1,1,4,1,0,0,0,0,0,0,0,0,0,5248,0,0,0,0,0,0,0,0,0,true,1965,9501,51,rtx3090,ampere_ga10x,ga102,8.6,82,6,100,"fp16_wmma,tf32,bf16,int8,int4,sparsity",nvml_total_energy,total_energy_mj_delta,control,none,true,one_sec_average,false,false,133102,132420,0,0,591.86,13.590.57,"regime=shared_resident;feasibility_reason=W_SM + B KiB fits rtx3090 shared memory capacity; full-GPU working set also fits nominal L2;target_profile=rtx3090;architecture_family=ampere_ga10x;chip=ga102;target_full_sm=82;target_l2_mib=6;target_shared_kib_per_sm=100;target_max_shared_kib_per_block=99;nvml_power_usage_semantics=one_sec_average;tensor_modes=fp16_wmma,tf32,bf16,int8,int4,sparsity;shared_resident=1;l2_candidate=1;dram_candidate=0;row_scope=per_gpu;logical_op=warp_m16n16k16;wmma_fallback=1;reuse_factor=1;load_repeat=4;store_repeat=1;reg_payload_bytes_per_block=0;reg_payload_regs_per_thread=0;reg_payload_bytes_per_sm=0;expected_reg_pressure_ops=0;expected_reg_operand_ops=0;expected_shared_bytes=0;expected_l1_bytes=0;expected_l2_bytes=0;expected_dram_bytes=0;expected_store_bytes=5248;expected_addr_ops=0;mode_family=control;denominator_level=none;gpu_active=1;energy_source=nvml_total_energy;power_mw=133102;nvml_field_api_unavailable=no_nvml_header;power_limit_mw=370000;ecc_unavailable=Not Supported;energy_source=nvml_total_energy;power_mw=132420;nvml_field_api_unavailable=no_nvml_header;power_limit_mw=370000;ecc_unavailable=Not Supported;smid_unique=82;smid_total_blocks=1312;smid_max_blocks_on_sm=16;runtime_device_name=NVIDIA GeForce RTX 3090;runtime_compute_capability=8.6;runtime_sm_count=82;runtime_l2_bytes=6291456;runtime_shared_mem_per_block_optin_bytes=101376;ncu_join_status=missing;",,,,,,,,,,,,,,,,,
global_l1_load_only_1783176354715_r0,0,1,global_l1_load_only,16,16,32,82,500000,2000000,0.685165916,1538719574,1538927767,208.193,78.6708601989,129.522139801,0,0,0,1024,1,1,4,1,0,0,0,0,0,0,2686976000000,0,0,1343488,0,0,0,0,0,5.37395e+12,1753250000,1356845000,0,true,1935,9501,63,rtx3090,ampere_ga10x,ga102,8.6,82,6,100,"fp16_wmma,tf32,bf16,int8,int4,sparsity",nvml_total_energy,total_energy_mj_delta,global_l1,expected_l1_bytes_static,true,one_sec_average,false,false,117418,229743,0,0,591.86,13.590.57,"regime=shared_resident;feasibility_reason=W_SM + B KiB fits rtx3090 shared memory capacity; full-GPU working set also fits nominal L2;target_profile=rtx3090;architecture_family=ampere_ga10x;chip=ga102;target_full_sm=82;target_l2_mib=6;target_shared_kib_per_sm=100;target_max_shared_kib_per_block=99;nvml_power_usage_semantics=one_sec_average;tensor_modes=fp16_wmma,tf32,bf16,int8,int4,sparsity;shared_resident=1;l2_candidate=1;dram_candidate=0;row_scope=per_gpu;logical_op=warp_m16n16k16;wmma_fallback=1;reuse_factor=1;load_repeat=4;store_repeat=1;reg_payload_bytes_per_block=0;reg_payload_regs_per_thread=0;reg_payload_bytes_per_sm=0;expected_reg_pressure_ops=0;expected_reg_operand_ops=0;expected_shared_bytes=0;expected_l1_bytes=2686976000000;expected_l2_bytes=0;expected_dram_bytes=0;expected_store_bytes=1343488;expected_addr_ops=0;mode_family=global_l1;denominator_level=expected_l1_bytes_static;gpu_active=1;energy_source=nvml_total_energy;power_mw=117418;nvml_field_api_unavailable=no_nvml_header;power_limit_mw=370000;ecc_unavailable=Not Supported;energy_source=nvml_total_energy;power_mw=229743;nvml_field_api_unavailable=no_nvml_header;power_limit_mw=370000;ecc_unavailable=Not Supported;smid_unique=82;smid_total_blocks=1312;smid_max_blocks_on_sm=16;runtime_device_name=NVIDIA GeForce RTX 3090;runtime_compute_capability=8.6;runtime_sm_count=82;runtime_l2_bytes=6291456;runtime_shared_mem_per_block_optin_bytes=101376;ncu_join_status=joined;ncu_match_type=exact;ncu_label=global_l1_load_only_W16_B16;ncu_status=ok;ncu_iter_scale=5;ncu_load_scale=5;",,167936000000,13478150,25509050,,ok,99.999,55.6124,17.4286,52.7454,210.023,80.9224,,,,spill_local_read_inst;spill_local_write_inst,
shared_load_only_1783176356634_r0,0,1,shared_load_only,16,16,32,82,500000,2000000,0.625994268,1539111000,1539329771,218.771,81.3788596986,137.392140301,0,0,0,1024,1,1,4,1,0,0,0,0,0,2686976000000,0,0,0,1343488,0,0,0,0,0,0,1915135000,1415320000,0,true,1950,9501,64,rtx3090,ampere_ga10x,ga102,8.6,82,6,100,"fp16_wmma,tf32,bf16,int8,int4,sparsity",nvml_total_energy,total_energy_mj_delta,shared,expected_shared_bytes_static,true,one_sec_average,false,false,132468,251077,0,0,591.86,13.590.57,"regime=shared_resident;feasibility_reason=W_SM + B KiB fits rtx3090 shared memory capacity; full-GPU working set also fits nominal L2;target_profile=rtx3090;architecture_family=ampere_ga10x;chip=ga102;target_full_sm=82;target_l2_mib=6;target_shared_kib_per_sm=100;target_max_shared_kib_per_block=99;nvml_power_usage_semantics=one_sec_average;tensor_modes=fp16_wmma,tf32,bf16,int8,int4,sparsity;shared_resident=1;l2_candidate=1;dram_candidate=0;row_scope=per_gpu;logical_op=warp_m16n16k16;wmma_fallback=1;reuse_factor=1;load_repeat=4;store_repeat=1;reg_payload_bytes_per_block=0;reg_payload_regs_per_thread=0;reg_payload_bytes_per_sm=0;expected_reg_pressure_ops=0;expected_reg_operand_ops=0;expected_shared_bytes=2686976000000;expected_l1_bytes=0;expected_l2_bytes=0;expected_dram_bytes=0;expected_store_bytes=1343488;expected_addr_ops=0;mode_family=shared;denominator_level=expected_shared_bytes_static;gpu_active=1;shared_init_included=1;energy_source=nvml_total_energy;power_mw=132468;nvml_field_api_unavailable=no_nvml_header;power_limit_mw=370000;ecc_unavailable=Not Supported;energy_source=nvml_total_energy;power_mw=251077;nvml_field_api_unavailable=no_nvml_header;power_limit_mw=370000;ecc_unavailable=Not Supported;smid_unique=82;smid_total_blocks=1312;smid_max_blocks_on_sm=16;runtime_device_name=NVIDIA GeForce RTX 3090;runtime_compute_capability=8.6;runtime_sm_count=82;runtime_l2_bytes=6291456;runtime_shared_mem_per_block_optin_bytes=101376;ncu_join_status=joined;ncu_match_type=exact;ncu_label=shared_load_only_W16_B16;ncu_status=ok;ncu_iter_scale=5;ncu_load_scale=5;",43686750000,,18810300,25077400,,ok,26.8619,54.425,0.000891,89.7858,194.186,80.0038,,,,spill_local_read_inst;spill_local_write_inst,
