mode,target_profile,W_SM_KiB,blocks_per_SM,active_SM,reuse_factor,load_repeat,store_repeat,global_warmup_passes,l2_residency_policy,l2_address_layout,n_gpu_active,gpu_list,valid,regime,reason,measurement_policy,resolved_iters,command
shared_scalar_load_only,rtx3090,64,8,82,4,8,8,1,normal,contiguous,1,0,True,shared_resident,fits shared memory,shared_pair_locked_pending,,./build/a100_fp16_energy_v2 --gpu-list 0 --mode shared_scalar_load_only --w-sm-kib 64 --blocks-per-sm 8 --target-profile rtx3090 --active-sm 82 --seconds 5.0 --repeats 1 --reuse-factor 4 --load-repeat 8 --store-repeat 8 --global-warmup-passes 1 --l2-residency-policy normal --l2-address-layout contiguous --output results/raw/rtx3090_pairv2_20260714_shared.csv --verify-smid 1
shared_scalar_addr_only,rtx3090,64,8,82,4,16,1,1,normal,contiguous,1,0,True,shared_resident,fits shared memory,shared_pair_locked_pending,,./build/a100_fp16_energy_v2 --gpu-list 0 --mode shared_scalar_addr_only --w-sm-kib 64 --blocks-per-sm 8 --target-profile rtx3090 --active-sm 82 --seconds 5.0 --repeats 1 --reuse-factor 4 --load-repeat 16 --store-repeat 1 --global-warmup-passes 1 --l2-residency-policy normal --l2-address-layout contiguous --output results/raw/rtx3090_pairv2_20260714_shared.csv --verify-smid 1
shared_scalar_load_only,rtx3090,64,8,82,4,16,1,1,normal,contiguous,1,0,True,shared_resident,fits shared memory,shared_pair_locked_pending,,./build/a100_fp16_energy_v2 --gpu-list 0 --mode shared_scalar_load_only --w-sm-kib 64 --blocks-per-sm 8 --target-profile rtx3090 --active-sm 82 --seconds 5.0 --repeats 1 --reuse-factor 4 --load-repeat 16 --store-repeat 1 --global-warmup-passes 1 --l2-residency-policy normal --l2-address-layout contiguous --output results/raw/rtx3090_pairv2_20260714_shared.csv --verify-smid 1
shared_scalar_addr_only,rtx3090,64,8,82,4,16,2,1,normal,contiguous,1,0,True,shared_resident,fits shared memory,shared_pair_locked_pending,,./build/a100_fp16_energy_v2 --gpu-list 0 --mode shared_scalar_addr_only --w-sm-kib 64 --blocks-per-sm 8 --target-profile rtx3090 --active-sm 82 --seconds 5.0 --repeats 1 --reuse-factor 4 --load-repeat 16 --store-repeat 2 --global-warmup-passes 1 --l2-residency-policy normal --l2-address-layout contiguous --output results/raw/rtx3090_pairv2_20260714_shared.csv --verify-smid 1
shared_scalar_load_only,rtx3090,64,8,82,4,16,2,1,normal,contiguous,1,0,True,shared_resident,fits shared memory,shared_pair_locked_pending,,./build/a100_fp16_energy_v2 --gpu-list 0 --mode shared_scalar_load_only --w-sm-kib 64 --blocks-per-sm 8 --target-profile rtx3090 --active-sm 82 --seconds 5.0 --repeats 1 --reuse-factor 4 --load-repeat 16 --store-repeat 2 --global-warmup-passes 1 --l2-residency-policy normal --l2-address-layout contiguous --output results/raw/rtx3090_pairv2_20260714_shared.csv --verify-smid 1
shared_scalar_addr_only,rtx3090,64,8,82,4,16,4,1,normal,contiguous,1,0,True,shared_resident,fits shared memory,shared_pair_locked_pending,,./build/a100_fp16_energy_v2 --gpu-list 0 --mode shared_scalar_addr_only --w-sm-kib 64 --blocks-per-sm 8 --target-profile rtx3090 --active-sm 82 --seconds 5.0 --repeats 1 --reuse-factor 4 --load-repeat 16 --store-repeat 4 --global-warmup-passes 1 --l2-residency-policy normal --l2-address-layout contiguous --output results/raw/rtx3090_pairv2_20260714_shared.csv --verify-smid 1
shared_scalar_load_only,rtx3090,64,8,82,4,16,4,1,normal,contiguous,1,0,True,shared_resident,fits shared memory,shared_pair_locked_pending,,./build/a100_fp16_energy_v2 --gpu-list 0 --mode shared_scalar_load_only --w-sm-kib 64 --blocks-per-sm 8 --target-profile rtx3090 --active-sm 82 --seconds 5.0 --repeats 1 --reuse-factor 4 --load-repeat 16 --store-repeat 4 --global-warmup-passes 1 --l2-residency-policy normal --l2-address-layout contiguous --output results/raw/rtx3090_pairv2_20260714_shared.csv --verify-smid 1
shared_scalar_addr_only,rtx3090,64,8,82,4,16,8,1,normal,contiguous,1,0,True,shared_resident,fits shared memory,shared_pair_locked_pending,,./build/a100_fp16_energy_v2 --gpu-list 0 --mode shared_scalar_addr_only --w-sm-kib 64 --blocks-per-sm 8 --target-profile rtx3090 --active-sm 82 --seconds 5.0 --repeats 1 --reuse-factor 4 --load-repeat 16 --store-repeat 8 --global-warmup-passes 1 --l2-residency-policy normal --l2-address-layout contiguous --output results/raw/rtx3090_pairv2_20260714_shared.csv --verify-smid 1
shared_scalar_load_only,rtx3090,64,8,82,4,16,8,1,normal,contiguous,1,0,True,shared_resident,fits shared memory,shared_pair_locked_pending,,./build/a100_fp16_energy_v2 --gpu-list 0 --mode shared_scalar_load_only --w-sm-kib 64 --blocks-per-sm 8 --target-profile rtx3090 --active-sm 82 --seconds 5.0 --repeats 1 --reuse-factor 4 --load-repeat 16 --store-repeat 8 --global-warmup-passes 1 --l2-residency-policy normal --l2-address-layout contiguous --output results/raw/rtx3090_pairv2_20260714_shared.csv --verify-smid 1
shared_scalar_addr_only,rtx3090,64,8,82,8,4,1,1,normal,contiguous,1,0,True,shared_resident,fits shared memory,shared_pair_locked_pending,,./build/a100_fp16_energy_v2 --gpu-list 0 --mode shared_scalar_addr_only --w-sm-kib 64 --blocks-per-sm 8 --target-profile rtx3090 --active-sm 82 --seconds 5.0 --repeats 1 --reuse-factor 8 --load-repeat 4 --store-repeat 1 --global-warmup-passes 1 --l2-residency-policy normal --l2-address-layout contiguous --output results/raw/rtx3090_pairv2_20260714_shared.csv --verify-smid 1
shared_scalar_load_only,rtx3090,64,8,82,8,4,1,1,normal,contiguous,1,0,True,shared_resident,fits shared memory,shared_pair_locked_pending,,./build/a100_fp16_energy_v2 --gpu-list 0 --mode shared_scalar_load_only --w-sm-kib 64 --blocks-per-sm 8 --target-profile rtx3090 --active-sm 82 --seconds 5.0 --repeats 1 --reuse-factor 8 --load-repeat 4 --store-repeat 1 --global-warmup-passes 1 --l2-residency-policy normal --l2-address-layout contiguous --output results/raw/rtx3090_pairv2_20260714_shared.csv --verify-smid 1
shared_scalar_addr_only,rtx3090,64,8,82,8,4,2,1,normal,contiguous,1,0,True,shared_resident,fits shared memory,shared_pair_locked_pending,,./build/a100_fp16_energy_v2 --gpu-list 0 --mode shared_scalar_addr_only --w-sm-kib 64 --blocks-per-sm 8 --target-profile rtx3090 --active-sm 82 --seconds 5.0 --repeats 1 --reuse-factor 8 --load-repeat 4 --store-repeat 2 --global-warmup-passes 1 --l2-residency-policy normal --l2-address-layout contiguous --output results/raw/rtx3090_pairv2_20260714_shared.csv --verify-smid 1
shared_scalar_load_only,rtx3090,64,8,82,8,4,2,1,normal,contiguous,1,0,True,shared_resident,fits shared memory,shared_pair_locked_pending,,./build/a100_fp16_energy_v2 --gpu-list 0 --mode shared_scalar_load_only --w-sm-kib 64 --blocks-per-sm 8 --target-profile rtx3090 --active-sm 82 --seconds 5.0 --repeats 1 --reuse-factor 8 --load-repeat 4 --store-repeat 2 --global-warmup-passes 1 --l2-residency-policy normal --l2-address-layout contiguous --output results/raw/rtx3090_pairv2_20260714_shared.csv --verify-smid 1
shared_scalar_addr_only,rtx3090,64,8,82,8,4,4,1,normal,contiguous,1,0,True,shared_resident,fits shared memory,shared_pair_locked_pending,,./build/a100_fp16_energy_v2 --gpu-list 0 --mode shared_scalar_addr_only --w-sm-kib 64 --blocks-per-sm 8 --target-profile rtx3090 --active-sm 82 --seconds 5.0 --repeats 1 --reuse-factor 8 --load-repeat 4 --store-repeat 4 --global-warmup-passes 1 --l2-residency-policy normal --l2-address-layout contiguous --output results/raw/rtx3090_pairv2_20260714_shared.csv --verify-smid 1
shared_scalar_load_only,rtx3090,64,8,82,8,4,4,1,normal,contiguous,1,0,True,shared_resident,fits shared memory,shared_pair_locked_pending,,./build/a100_fp16_energy_v2 --gpu-list 0 --mode shared_scalar_load_only --w-sm-kib 64 --blocks-per-sm 8 --target-profile rtx3090 --active-sm 82 --seconds 5.0 --repeats 1 --reuse-factor 8 --load-repeat 4 --store-repeat 4 --global-warmup-passes 1 --l2-residency-policy normal --l2-address-layout contiguous --output results/raw/rtx3090_pairv2_20260714_shared.csv --verify-smid 1
shared_scalar_addr_only,rtx3090,64,8,82,8,4,8,1,normal,contiguous,1,0,True,shared_resident,fits shared memory,shared_pair_locked_pending,,./build/a100_fp16_energy_v2 --gpu-list 0 --mode shared_scalar_addr_only --w-sm-kib 64 --blocks-per-sm 8 --target-profile rtx3090 --active-sm 82 --seconds 5.0 --repeats 1 --reuse-factor 8 --load-repeat 4 --store-repeat 8 --global-warmup-passes 1 --l2-residency-policy normal --l2-address-layout contiguous --output results/raw/rtx3090_pairv2_20260714_shared.csv --verify-smid 1
shared_scalar_load_only,rtx3090,64,8,82,8,4,8,1,normal,contiguous,1,0,True,shared_resident,fits shared memory,shared_pair_locked_pending,,./build/a100_fp16_energy_v2 --gpu-list 0 --mode shared_scalar_load_only --w-sm-kib 64 --blocks-per-sm 8 --target-profile rtx3090 --active-sm 82 --seconds 5.0 --repeats 1 --reuse-factor 8 --load-repeat 4 --store-repeat 8 --global-warmup-passes 1 --l2-residency-policy normal --l2-address-layout contiguous --output results/raw/rtx3090_pairv2_20260714_shared.csv --verify-smid 1
shared_scalar_addr_only,rtx3090,64,8,82,8,8,1,1,normal,contiguous,1,0,True,shared_resident,fits shared memory,shared_pair_locked_pending,,./build/a100_fp16_energy_v2 --gpu-list 0 --mode shared_scalar_addr_only --w-sm-kib 64 --blocks-per-sm 8 --target-profile rtx3090 --active-sm 82 --seconds 5.0 --repeats 1 --reuse-factor 8 --load-repeat 8 --store-repeat 1 --global-warmup-passes 1 --l2-residency-policy normal --l2-address-layout contiguous --output results/raw/rtx3090_pairv2_20260714_shared.csv --verify-smid 1
shared_scalar_load_only,rtx3090,64,8,82,8,8,1,1,normal,contiguous,1,0,True,shared_resident,fits shared memory,shared_pair_locked_pending,,./build/a100_fp16_energy_v2 --gpu-list 0 --mode shared_scalar_load_only --w-sm-kib 64 --blocks-per-sm 8 --target-profile rtx3090 --active-sm 82 --seconds 5.0 --repeats 1 --reuse-factor 8 --load-repeat 8 --store-repeat 1 --global-warmup-passes 1 --l2-residency-policy normal --l2-address-layout contiguous --output results/raw/rtx3090_pairv2_20260714_shared.csv --verify-smid 1
shared_scalar_addr_only,rtx3090,64,8,82,8,8,2,1,normal,contiguous,1,0,True,shared_resident,fits shared memory,shared_pair_locked_pending,,./build/a100_fp16_energy_v2 --gpu-list 0 --mode shared_scalar_addr_only --w-sm-kib 64 --blocks-per-sm 8 --target-profile rtx3090 --active-sm 82 --seconds 5.0 --repeats 1 --reuse-factor 8 --load-repeat 8 --store-repeat 2 --global-warmup-passes 1 --l2-residency-policy normal --l2-address-layout contiguous --output results/raw/rtx3090_pairv2_20260714_shared.csv --verify-smid 1
shared_scalar_load_only,rtx3090,64,8,82,8,8,2,1,normal,contiguous,1,0,True,shared_resident,fits shared memory,shared_pair_locked_pending,,./build/a100_fp16_energy_v2 --gpu-list 0 --mode shared_scalar_load_only --w-sm-kib 64 --blocks-per-sm 8 --target-profile rtx3090 --active-sm 82 --seconds 5.0 --repeats 1 --reuse-factor 8 --load-repeat 8 --store-repeat 2 --global-warmup-passes 1 --l2-residency-policy normal --l2-address-layout contiguous --output results/raw/rtx3090_pairv2_20260714_shared.csv --verify-smid 1
shared_scalar_addr_only,rtx3090,64,8,82,8,8,4,1,normal,contiguous,1,0,True,shared_resident,fits shared memory,shared_pair_locked_pending,,./build/a100_fp16_energy_v2 --gpu-list 0 --mode shared_scalar_addr_only --w-sm-kib 64 --blocks-per-sm 8 --target-profile rtx3090 --active-sm 82 --seconds 5.0 --repeats 1 --reuse-factor 8 --load-repeat 8 --store-repeat 4 --global-warmup-passes 1 --l2-residency-policy normal --l2-address-layout contiguous --output results/raw/rtx3090_pairv2_20260714_shared.csv --verify-smid 1
shared_scalar_load_only,rtx3090,64,8,82,8,8,4,1,normal,contiguous,1,0,True,shared_resident,fits shared memory,shared_pair_locked_pending,,./build/a100_fp16_energy_v2 --gpu-list 0 --mode shared_scalar_load_only --w-sm-kib 64 --blocks-per-sm 8 --target-profile rtx3090 --active-sm 82 --seconds 5.0 --repeats 1 --reuse-factor 8 --load-repeat 8 --store-repeat 4 --global-warmup-passes 1 --l2-residency-policy normal --l2-address-layout contiguous --output results/raw/rtx3090_pairv2_20260714_shared.csv --verify-smid 1
shared_scalar_addr_only,rtx3090,64,8,82,8,8,8,1,normal,contiguous,1,0,True,shared_resident,fits shared memory,shared_pair_locked_pending,,./build/a100_fp16_energy_v2 --gpu-list 0 --mode shared_scalar_addr_only --w-sm-kib 64 --blocks-per-sm 8 --target-profile rtx3090 --active-sm 82 --seconds 5.0 --repeats 1 --reuse-factor 8 --load-repeat 8 --store-repeat 8 --global-warmup-passes 1 --l2-residency-policy normal --l2-address-layout contiguous --output results/raw/rtx3090_pairv2_20260714_shared.csv --verify-smid 1
shared_scalar_load_only,rtx3090,64,8,82,8,8,8,1,normal,contiguous,1,0,True,shared_resident,fits shared memory,shared_pair_locked_pending,,./build/a100_fp16_energy_v2 --gpu-list 0 --mode shared_scalar_load_only --w-sm-kib 64 --blocks-per-sm 8 --target-profile rtx3090 --active-sm 82 --seconds 5.0 --repeats 1 --reuse-factor 8 --load-repeat 8 --store-repeat 8 --global-warmup-passes 1 --l2-residency-policy normal --l2-address-layout contiguous --output results/raw/rtx3090_pairv2_20260714_shared.csv --verify-smid 1
shared_scalar_addr_only,rtx3090,64,8,82,8,16,1,1,normal,contiguous,1,0,True,shared_resident,fits shared memory,shared_pair_locked_pending,,./build/a100_fp16_energy_v2 --gpu-list 0 --mode shared_scalar_addr_only --w-sm-kib 64 --blocks-per-sm 8 --target-profile rtx3090 --active-sm 82 --seconds 5.0 --repeats 1 --reuse-factor 8 --load-repeat 16 --store-repeat 1 --global-warmup-passes 1 --l2-residency-policy normal --l2-address-layout contiguous --output results/raw/rtx3090_pairv2_20260714_shared.csv --verify-smid 1
shared_scalar_load_only,rtx3090,64,8,82,8,16,1,1,normal,contiguous,1,0,True,shared_resident,fits shared memory,shared_pair_locked_pending,,./build/a100_fp16_energy_v2 --gpu-list 0 --mode shared_scalar_load_only --w-sm-kib 64 --blocks-per-sm 8 --target-profile rtx3090 --active-sm 82 --seconds 5.0 --repeats 1 --reuse-factor 8 --load-repeat 16 --store-repeat 1 --global-warmup-passes 1 --l2-residency-policy normal --l2-address-layout contiguous --output results/raw/rtx3090_pairv2_20260714_shared.csv --verify-smid 1
shared_scalar_addr_only,rtx3090,64,8,82,8,16,2,1,normal,contiguous,1,0,True,shared_resident,fits shared memory,shared_pair_locked_pending,,./build/a100_fp16_energy_v2 --gpu-list 0 --mode shared_scalar_addr_only --w-sm-kib 64 --blocks-per-sm 8 --target-profile rtx3090 --active-sm 82 --seconds 5.0 --repeats 1 --reuse-factor 8 --load-repeat 16 --store-repeat 2 --global-warmup-passes 1 --l2-residency-policy normal --l2-address-layout contiguous --output results/raw/rtx3090_pairv2_20260714_shared.csv --verify-smid 1
shared_scalar_load_only,rtx3090,64,8,82,8,16,2,1,normal,contiguous,1,0,True,shared_resident,fits shared memory,shared_pair_locked_pending,,./build/a100_fp16_energy_v2 --gpu-list 0 --mode shared_scalar_load_only --w-sm-kib 64 --blocks-per-sm 8 --target-profile rtx3090 --active-sm 82 --seconds 5.0 --repeats 1 --reuse-factor 8 --load-repeat 16 --store-repeat 2 --global-warmup-passes 1 --l2-residency-policy normal --l2-address-layout contiguous --output results/raw/rtx3090_pairv2_20260714_shared.csv --verify-smid 1
shared_scalar_addr_only,rtx3090,64,8,82,8,16,4,1,normal,contiguous,1,0,True,shared_resident,fits shared memory,shared_pair_locked_pending,,./build/a100_fp16_energy_v2 --gpu-list 0 --mode shared_scalar_addr_only --w-sm-kib 64 --blocks-per-sm 8 --target-profile rtx3090 --active-sm 82 --seconds 5.0 --repeats 1 --reuse-factor 8 --load-repeat 16 --store-repeat 4 --global-warmup-passes 1 --l2-residency-policy normal --l2-address-layout contiguous --output results/raw/rtx3090_pairv2_20260714_shared.csv --verify-smid 1
shared_scalar_load_only,rtx3090,64,8,82,8,16,4,1,normal,contiguous,1,0,True,shared_resident,fits shared memory,shared_pair_locked_pending,,./build/a100_fp16_energy_v2 --gpu-list 0 --mode shared_scalar_load_only --w-sm-kib 64 --blocks-per-sm 8 --target-profile rtx3090 --active-sm 82 --seconds 5.0 --repeats 1 --reuse-factor 8 --load-repeat 16 --store-repeat 4 --global-warmup-passes 1 --l2-residency-policy normal --l2-address-layout contiguous --output results/raw/rtx3090_pairv2_20260714_shared.csv --verify-smid 1
shared_scalar_addr_only,rtx3090,64,8,82,8,16,8,1,normal,contiguous,1,0,True,shared_resident,fits shared memory,shared_pair_locked_pending,,./build/a100_fp16_energy_v2 --gpu-list 0 --mode shared_scalar_addr_only --w-sm-kib 64 --blocks-per-sm 8 --target-profile rtx3090 --active-sm 82 --seconds 5.0 --repeats 1 --reuse-factor 8 --load-repeat 16 --store-repeat 8 --global-warmup-passes 1 --l2-residency-policy normal --l2-address-layout contiguous --output results/raw/rtx3090_pairv2_20260714_shared.csv --verify-smid 1
shared_scalar_load_only,rtx3090,64,8,82,8,16,8,1,normal,contiguous,1,0,True,shared_resident,fits shared memory,shared_pair_locked_pending,,./build/a100_fp16_energy_v2 --gpu-list 0 --mode shared_scalar_load_only --w-sm-kib 64 --blocks-per-sm 8 --target-profile rtx3090 --active-sm 82 --seconds 5.0 --repeats 1 --reuse-factor 8 --load-repeat 16 --store-repeat 8 --global-warmup-passes 1 --l2-residency-policy normal --l2-address-layout contiguous --output results/raw/rtx3090_pairv2_20260714_shared.csv --verify-smid 1
