mode,target_profile,W_SM_KiB,blocks_per_SM,active_SM,reuse_factor,load_repeat,store_repeat,global_warmup_passes,l2_residency_policy,l2_address_layout,n_gpu_active,gpu_list,valid,regime,reason,measurement_policy,resolved_iters,command
global_addr_only,rtx3090,8,16,82,1,16,1,1,normal,contiguous,1,0,False,below_logical_tile,"skipped:W_SM_KiB < blocks_per_SM; only register, non-memory control, and store modes are valid",per_mode_duration_calibrated,,./build/a100_fp16_energy_v2 --gpu-list 0 --mode global_addr_only --w-sm-kib 8 --blocks-per-sm 16 --target-profile rtx3090 --active-sm 82 --seconds 10.0 --repeats 1 --reuse-factor 1 --load-repeat 16 --store-repeat 1 --global-warmup-passes 1 --l2-residency-policy normal --l2-address-layout contiguous --output results/raw/rtx3090_component_finalplan_20260714_rerun1_l1.csv --verify-smid 1
global_l1_load_only,rtx3090,8,16,82,1,16,1,1,normal,contiguous,1,0,False,below_logical_tile,"skipped:W_SM_KiB < blocks_per_SM; only register, non-memory control, and store modes are valid",per_mode_duration_calibrated,,./build/a100_fp16_energy_v2 --gpu-list 0 --mode global_l1_load_only --w-sm-kib 8 --blocks-per-sm 16 --target-profile rtx3090 --active-sm 82 --seconds 10.0 --repeats 1 --reuse-factor 1 --load-repeat 16 --store-repeat 1 --global-warmup-passes 1 --l2-residency-policy normal --l2-address-layout contiguous --output results/raw/rtx3090_component_finalplan_20260714_rerun1_l1.csv --verify-smid 1
global_addr_only,rtx3090,16,8,82,1,4,1,1,normal,contiguous,1,0,True,shared_resident,fits shared memory,per_mode_duration_calibrated,,./build/a100_fp16_energy_v2 --gpu-list 0 --mode global_addr_only --w-sm-kib 16 --blocks-per-sm 8 --target-profile rtx3090 --active-sm 82 --seconds 10.0 --repeats 1 --reuse-factor 1 --load-repeat 4 --store-repeat 1 --global-warmup-passes 1 --l2-residency-policy normal --l2-address-layout contiguous --output results/raw/rtx3090_component_finalplan_20260714_rerun1_l1.csv --verify-smid 1
global_l1_load_only,rtx3090,16,8,82,1,4,1,1,normal,contiguous,1,0,True,shared_resident,fits shared memory,per_mode_duration_calibrated,,./build/a100_fp16_energy_v2 --gpu-list 0 --mode global_l1_load_only --w-sm-kib 16 --blocks-per-sm 8 --target-profile rtx3090 --active-sm 82 --seconds 10.0 --repeats 1 --reuse-factor 1 --load-repeat 4 --store-repeat 1 --global-warmup-passes 1 --l2-residency-policy normal --l2-address-layout contiguous --output results/raw/rtx3090_component_finalplan_20260714_rerun1_l1.csv --verify-smid 1
global_addr_only,rtx3090,16,8,82,1,8,1,1,normal,contiguous,1,0,True,shared_resident,fits shared memory,per_mode_duration_calibrated,,./build/a100_fp16_energy_v2 --gpu-list 0 --mode global_addr_only --w-sm-kib 16 --blocks-per-sm 8 --target-profile rtx3090 --active-sm 82 --seconds 10.0 --repeats 1 --reuse-factor 1 --load-repeat 8 --store-repeat 1 --global-warmup-passes 1 --l2-residency-policy normal --l2-address-layout contiguous --output results/raw/rtx3090_component_finalplan_20260714_rerun1_l1.csv --verify-smid 1
global_l1_load_only,rtx3090,16,8,82,1,8,1,1,normal,contiguous,1,0,True,shared_resident,fits shared memory,per_mode_duration_calibrated,,./build/a100_fp16_energy_v2 --gpu-list 0 --mode global_l1_load_only --w-sm-kib 16 --blocks-per-sm 8 --target-profile rtx3090 --active-sm 82 --seconds 10.0 --repeats 1 --reuse-factor 1 --load-repeat 8 --store-repeat 1 --global-warmup-passes 1 --l2-residency-policy normal --l2-address-layout contiguous --output results/raw/rtx3090_component_finalplan_20260714_rerun1_l1.csv --verify-smid 1
global_addr_only,rtx3090,16,8,82,1,16,1,1,normal,contiguous,1,0,True,shared_resident,fits shared memory,per_mode_duration_calibrated,,./build/a100_fp16_energy_v2 --gpu-list 0 --mode global_addr_only --w-sm-kib 16 --blocks-per-sm 8 --target-profile rtx3090 --active-sm 82 --seconds 10.0 --repeats 1 --reuse-factor 1 --load-repeat 16 --store-repeat 1 --global-warmup-passes 1 --l2-residency-policy normal --l2-address-layout contiguous --output results/raw/rtx3090_component_finalplan_20260714_rerun1_l1.csv --verify-smid 1
global_l1_load_only,rtx3090,16,8,82,1,16,1,1,normal,contiguous,1,0,True,shared_resident,fits shared memory,per_mode_duration_calibrated,,./build/a100_fp16_energy_v2 --gpu-list 0 --mode global_l1_load_only --w-sm-kib 16 --blocks-per-sm 8 --target-profile rtx3090 --active-sm 82 --seconds 10.0 --repeats 1 --reuse-factor 1 --load-repeat 16 --store-repeat 1 --global-warmup-passes 1 --l2-residency-policy normal --l2-address-layout contiguous --output results/raw/rtx3090_component_finalplan_20260714_rerun1_l1.csv --verify-smid 1
global_addr_only,rtx3090,16,16,82,1,4,1,1,normal,contiguous,1,0,True,shared_resident,fits shared memory,per_mode_duration_calibrated,,./build/a100_fp16_energy_v2 --gpu-list 0 --mode global_addr_only --w-sm-kib 16 --blocks-per-sm 16 --target-profile rtx3090 --active-sm 82 --seconds 10.0 --repeats 1 --reuse-factor 1 --load-repeat 4 --store-repeat 1 --global-warmup-passes 1 --l2-residency-policy normal --l2-address-layout contiguous --output results/raw/rtx3090_component_finalplan_20260714_rerun1_l1.csv --verify-smid 1
global_l1_load_only,rtx3090,16,16,82,1,4,1,1,normal,contiguous,1,0,True,shared_resident,fits shared memory,per_mode_duration_calibrated,,./build/a100_fp16_energy_v2 --gpu-list 0 --mode global_l1_load_only --w-sm-kib 16 --blocks-per-sm 16 --target-profile rtx3090 --active-sm 82 --seconds 10.0 --repeats 1 --reuse-factor 1 --load-repeat 4 --store-repeat 1 --global-warmup-passes 1 --l2-residency-policy normal --l2-address-layout contiguous --output results/raw/rtx3090_component_finalplan_20260714_rerun1_l1.csv --verify-smid 1
global_addr_only,rtx3090,16,16,82,1,8,1,1,normal,contiguous,1,0,True,shared_resident,fits shared memory,per_mode_duration_calibrated,,./build/a100_fp16_energy_v2 --gpu-list 0 --mode global_addr_only --w-sm-kib 16 --blocks-per-sm 16 --target-profile rtx3090 --active-sm 82 --seconds 10.0 --repeats 1 --reuse-factor 1 --load-repeat 8 --store-repeat 1 --global-warmup-passes 1 --l2-residency-policy normal --l2-address-layout contiguous --output results/raw/rtx3090_component_finalplan_20260714_rerun1_l1.csv --verify-smid 1
global_l1_load_only,rtx3090,16,16,82,1,8,1,1,normal,contiguous,1,0,True,shared_resident,fits shared memory,per_mode_duration_calibrated,,./build/a100_fp16_energy_v2 --gpu-list 0 --mode global_l1_load_only --w-sm-kib 16 --blocks-per-sm 16 --target-profile rtx3090 --active-sm 82 --seconds 10.0 --repeats 1 --reuse-factor 1 --load-repeat 8 --store-repeat 1 --global-warmup-passes 1 --l2-residency-policy normal --l2-address-layout contiguous --output results/raw/rtx3090_component_finalplan_20260714_rerun1_l1.csv --verify-smid 1
global_addr_only,rtx3090,16,16,82,1,16,1,1,normal,contiguous,1,0,True,shared_resident,fits shared memory,per_mode_duration_calibrated,,./build/a100_fp16_energy_v2 --gpu-list 0 --mode global_addr_only --w-sm-kib 16 --blocks-per-sm 16 --target-profile rtx3090 --active-sm 82 --seconds 10.0 --repeats 1 --reuse-factor 1 --load-repeat 16 --store-repeat 1 --global-warmup-passes 1 --l2-residency-policy normal --l2-address-layout contiguous --output results/raw/rtx3090_component_finalplan_20260714_rerun1_l1.csv --verify-smid 1
global_l1_load_only,rtx3090,16,16,82,1,16,1,1,normal,contiguous,1,0,True,shared_resident,fits shared memory,per_mode_duration_calibrated,,./build/a100_fp16_energy_v2 --gpu-list 0 --mode global_l1_load_only --w-sm-kib 16 --blocks-per-sm 16 --target-profile rtx3090 --active-sm 82 --seconds 10.0 --repeats 1 --reuse-factor 1 --load-repeat 16 --store-repeat 1 --global-warmup-passes 1 --l2-residency-policy normal --l2-address-layout contiguous --output results/raw/rtx3090_component_finalplan_20260714_rerun1_l1.csv --verify-smid 1
